pent_id;slug;foto;zhk;developer;okrug;district;address;count;area_m2;floor;price_total;price_m2;features;status;source;checked
p13;neva-towers;;Нева Тауэрс;Renaissance Development;ЦАО;Пресненский;Пресненская набережная, Москва-Сити;5;193-1180;66;493000000-2244660000;1528925-2554404;панорамные виды, террасы, крупнейший лот 1180 м2, архитектор Speech;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-neva-tauers/;14.09.2026
p14;vishnevyy-sad;;Вишнёвый сад;AB Development;ЗАО;Раменки;улица Пырьева;7;211-523;9-14;462000000-1460000000;2190000-2790000;потолки 4 м, деревянные окна Schuco, фитнес World Class с бассейном и спа, дом сдан 4 кв. 2025;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-vishnevyy-sad/;14.09.2026
p15;praym-park;;Прайм Парк;Optima Development;САО;Хорошёвский;Ленинградский проспект;10;131-552;29-40;169000000-732700000;903743-1632000;потолки 4-5,3 м, закрытый парк 3 га, 25-метровый бассейн, valet-паркинг, сдача 4 кв. 2027;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-praym-park/ | https://www.mirkvartir.ru/journal/reviews/2026/02/02/sverhu-tolko-oblaka/;14.09.2026
p16;ostrov;;Остров;Донстрой;СЗАО;Хорошёво-Мнёвники;Мнёвниковская пойма;13;156-539;5-22;175000000-1456920000;925925-2700000;10 лотов с террасами, потолки 3,1-5 м, виды на Гребной канал и Москву-реку, сдача 2 кв. 2029;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-ostrov/;14.09.2026
p17;sky-view;;Скай Вью;Киноцентр;ЦАО;Пресненский;Пресненский район;4;301-475;20;603920000-832320000;1752210-2000000;террасы на всех пентхаусах, потолки 3,95 м, четыре стеклянные башни, дом сдан 3 кв. 2024;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-skay-vyu/;14.09.2026
p18;sadovye-kvartaly;;Садовые кварталы;Sminex;ЦАО;Хамовники;Усачёва улица;5;238-331;5-14;490000000-1900000000;2050209-6250000;панорамные окна в пол, 2 лота с террасой, многоуровневый парк с прудом, дом сдан;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-sadovye-kvartaly/;14.09.2026
p19;turgenev;;Тургенев;Неострой;ЦАО;Красносельский;Костянский переулок;6;112-310;7-8;380945994-1511285333;3376881-5642161;террасы на верхних этажах, готовая отделка, бассейн, кинотеатр, дом сдан 4 кв. 2024;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-turgenev/;14.09.2026
p20;kosmo-4-22;;Космо 4/22;Галс-Девелопмент;ЦАО;Замоскворечье;между Пятницкой улицей и Космодамианской набережной;2;134-138;6;329431900-711890000;2371719-5300744;терраса, потолки 3,3-7,6 м, возможность объединения лотов, de-luxe, дом сдан 2 кв. 2025;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-kosmo-4-22/;14.09.2026
p21;lucky;;Лаки (Lucky);Vesper;ЦАО;Пресненский;Пресненская набережная 6с2;4;253-434;21;510680000-651600000;1405670-2094861;бассейн на крыше комплекса, потолки 3,3 м, панорамные окна, архитектор Меганом;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-laki/;14.09.2026
p22;cloud-nine;;Cloud Nine;Vesper;ЦАО;Якиманка;Большая Полянка 9;2;261-270;5;570000000-600000000;2111111-2298850;потолки 8 м, готовая отделка премиум-уровня, умный дом, de-luxe;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-cloud-nine/;14.09.2026
p23;poklonnaya-9;;Поклонная 9;ANT Development;ЗАО;Дорогомилово;Поклонная улица 9;2;267-307;31;590000000-600000000;1954397-2209737;терраса, гостиничный сервис 5 звёзд, потолки до 3,2 м, дом сдан 1 кв. 2024;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-poklonnaya-9/;14.09.2026
p24;slava;;Слава;MR Group;САО;Беговой;Ленинградский проспект;1;90;16;160000000;1777777;панорамные виды, потолки до 3,3 м, приватный сад, сдача 2 кв. 2027;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-slava/;14.09.2026
p25;river-park-kutuzovskiy;;River Park Кутузовский;AEON;ЗАО;Дорогомилово;;2;151,1-151,6;45;287000000-288000000;1900000;гардеробные, кухня-гостиная островом, усиленная звукоизоляция, вид на Москву-реку, сдача 3 кв. 2026 - 3 кв. 2027;в продаже;https://www.mirkvartir.ru/journal/reviews/2026/02/02/sverhu-tolko-oblaka/;14.09.2026
p26;khaydaut;;Hide;Dominanta;ЗАО;Раменки;;1;274,3;41;329200000;1200000;панорама на две стороны - Москва-Сити, Новодевичий монастырь, МГУ;в продаже;https://www.mirkvartir.ru/journal/reviews/2026/02/02/sverhu-tolko-oblaka/;14.09.2026
p27;dostizhenie;;Достижение;Sminex;СВАО;Марфино;;;51,8-121;28;43000000-102000000;816000;панорамные окна, потолки 3,1 м, вид на Ботанический сад и Лосиный остров, самый доступный пентхаус внутри МКАД;в продаже;https://www.mirkvartir.ru/journal/reviews/2026/02/02/sverhu-tolko-oblaka/;14.09.2026
p28;shift;;Shift;Pioneer;ЮАО;Донской;;3;269-283;18;457470000-491242200;1699999-1734000;потолки 8,13 м в бетоне, панорамное остекление с открыванием, спа и коворкинг, сдача 2 кв. 2029;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-shift/;14.09.2026
p29;kvartal-foriver;;Foriver;Sminex;ЮАО;Даниловский;первая линия Москвы-реки;6;84-328;15-19;72380000-307810000;817636-940452;потолки до 6,8 м, панорамные окна, ресторанная набережная, дом сдан 4 кв. 2024;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-foriver/;14.09.2026
p30;kutuzovskaya-rivera;;Кутузовская Ривьера;Mirax Group;ЗАО;Очаково-Матвеевское;;3;685-739;28-29;520438933-618232176;759226-843435;открытые террасы, панорама долины реки Сетунь;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-kutuzovskaya-rivera/;14.09.2026
p31;;;Дом на Пречистенской набережной;;ЦАО;Хамовники;Пречистенская набережная;1;538;;4300000000;8000000;кружевной фасад, камин, мастер-спальня с двумя ванными и гардеробными, комната няни, вид на храм Христа Спасителя;в продаже;https://www.osnmedia.ru/obshhestvo/samyj-dorogoj-penthaus-v-moskve-otsenili-v-4-3-milliarda-rublej;14.09.2026
p32;fairmont-vesper-residences;;Веспер Тверская;Vesper;ЦАО;Тверской;;1;1067;;;;крупнейший лот в экспозиции на элитном рынке Москвы по данным NF Group (июль 2026);в продаже;https://lenta.ru/news/2026/07/30/v-moskve-prodali-samyy-bolshoy-penthaus/;14.09.2026
p33;dom-sporta;;Дом Спорта;Capital Group;ЦАО;Пресненский;Дружинниковская улица;1;1022;;;;крупнейший по площади лот за всю историю элитного первичного рынка Москвы, цена не раскрыта;продан 2026;https://lenta.ru/news/2026/07/30/v-moskve-prodali-samyy-bolshoy-penthaus/;14.09.2026
p34;;;Не раскрыт (проект Sminex в Хамовниках);Sminex;ЦАО;Хамовники;;1;;;свыше 4000000000;;рекорд рынка - самая дорогая сделка с пентхаусом за всю историю наблюдений, II квартал 2026;продан 2026;https://lenta.ru/news/2026/07/24/v-moskve-kupili-samyy-dorogoy-penthaus-v-istorii-nablyudeniy/ | https://www.mirkvartir.ru/journal/news/2026/07/22/na-elitnye-penthausy/;14.09.2026
p35;bolshaya-nikitskaya-45;;Большая Никитская 45;;ЦАО;Пресненский;Большая Никитская улица 45;2;225-450;6;450000000-1012527107;2000000-2250088;террасы по периметру, два верхних этажа, центральное кондиционирование;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-bolshaya-nikitskaya-45/;14.09.2026
p36;molochnyy-7;;Молочный 7;;ЦАО;Хамовники;Молочный переулок 7;1;584;5;1181281625;2022776;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p37;st-nickolas;;Сент Николас;;ЦАО;Тверской;;1;220;5;1000000000;4545454;вид на Кремль;в продаже;https://kupipenthouse.ru/kupit-penthouse/s-vidom-na-kreml/;14.09.2026
p38;knightsbridge-private-park;;Найтсбридж Прайват Парк;;ЦАО;Хамовники;;1;218;6;1200000000;5504587;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p39;khilkov;;Хилков 5;;ЦАО;Хамовники;Хилков переулок 5;1;348;6;717206701;2060914;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p40;usadba-trubetskih;;Усадьба Трубецких;;ЦАО;Хамовники;;1;261;5;780000000;2988505;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p41;kutuzovskiy-12;;Кутузовский 12;;ЗАО;Дорогомилово;Кутузовский проспект 12;3;212-425;11;300000000-620000000;1408450-1462264;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p42;vorobev-dom;;Фамильный дом Воробьёво;;ЮЗАО;Гагаринский;;1;457;19;597817098;1308100;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p43;magnum-khamovniki;;Магнум;;ЦАО;Хамовники;;1;215;6;535000000;2488372;;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p44;chetyre-solntsa;;Четыре солнца;;ЦАО;Замоскворечье;;2;179-306;8;259000000-443700000;1446927-1450000;вид на Кремль;в продаже;https://kupipenthouse.ru/kupit-penthouse/s-vidom-na-kreml/;14.09.2026
p45;dolina-setun;;Долина Сетунь;;ЗАО;Раменки;;1;401;35;245000000;610972;терраса, вид на Кремль;в продаже;https://kupipenthouse.ru/kupit-penthouse/s-vidom-na-kreml/;14.09.2026
p46;nebo;;Небо;;ЗАО;Раменки;;1;167;50;199000000;1191616;панорамный вид с 50-го этажа;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p47;gorod-yakht;;Город Яхт;;САО;Войковский;;1;500;11;315000000;630000;вид на воду;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p48;presnya-siti;;Пресня Сити;;ЦАО;Пресненский;;1;91;40;117000000;1285714;панорама на Москва-Сити;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p49;d1;;Д1;;САО;Тимирязевский;;1;135;59;97950000;725555;панорамный вид с 59-го этажа;в продаже;https://kupipenthouse.ru/kupit-penthouse/;14.09.2026
p50;moments;;Moments;;СЗАО;Щукино;;1;113;30;69545385;613275;;в продаже;https://kupipenthouse.ru/moments/;14.09.2026
