rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note
20;Школа № 444;ГБОУ города Москвы «Школа № 444»;Городская;школа;62;True;I степени;ВАО;Измайлово;Нижняя Первомайская ул., д. 14;1;41;35;;;;;;;;;;1;https://schv444.mskobr.ru/;
21;Школа № 1518;ГАОУ города Москвы «Школа № 1518»;Городская;школа;61;True;II степени;СВАО;Алексеевский;пр-т Мира, д. 87;2;19;;48;;;;;;;;;3;https://gum1518.mskobr.ru/;
22;Академическая школа № 1534;ГБОУ города Москвы «Академическая школа № 1534»;Городская;школа;60;True;II степени;ЮЗАО;Академический;ул. Кедрова, д. 11;2;32;27;80;;;;;;;;;;https://gym1534uz.mskobr.ru/;
23;Частная школа «Золотое сечение»;;Частная;школа;59;True;;ЦАО;Якиманка;"Ленинский пр-т, д. 13А (5–11 кл.); Комсомольский пр-т, д. 45 (начальная)";;44;;;5;да;1300000-1600000;нет;нет;;;профили физмат / естеств.-науч. / гуманитарный, тьюторство;;https://gold-school.ru/;
24;Школа № 548 «Царицыно»;ГАОУ города Москвы «Школа № 548 «Царицыно»;Городская;школа;58;True;I степени;ЮАО;Орехово-Борисово Южное;ул. Домодедовская, д. 35, корп. 2;1;;7;;;;;;;;;;;https://cou548.mskobr.ru/;
25;Инженерная школа № 1581;ГБОУ города Москвы «Инженерная школа № 1581»;Городская;школа;56;True;III степени;ЦАО;Басманный;Большой Полуярославский пер., д. 7;3;20;30;50;;;;;;;;;;https://lycc1581.mskobr.ru/;
26;Курчатовская школа;ГБОУ города Москвы «Курчатовская школа»;Городская;школа;56;True;I степени;СЗАО;Щукино;ул. Маршала Василевского, д. 7, корп. 1;1;;17;;;;;;;;;;;https://kurchat.mskobr.ru/;"Юридический адрес по ЕГРЮЛ — ул. Маршала Конева, 10; указан главный корпус по городскому реестру."
27;Школа № 1329;ГБОУ города Москвы «Школа № 1329»;Городская;школа;56;True;I степени;ЗАО;Тропарёво-Никулино;Никулинская ул., д. 10;1;;19;;;;;;;;;;7;https://sch1329.mskobr.ru/;
28;Школа № 1501;ГБОУ города Москвы «Школа № 1501»;Городская;школа;56;True;I степени;ЦАО;Тверской;Тихвинский пер., д. 3;1;;18;;;;;;;;;;;https://lycc1501.mskobr.ru/;
29;Школа № 2086;ГБОУ города Москвы «Школа № 2086»;Городская;школа;56;True;II степени;ЮЗАО;Гагаринский;Университетский пр-т, д. 5;2;39;22;95;;;;;;;;;;https://sch2086uz.mskobr.ru/;
30;Ломоносовская школа «ИнТек»;;Частная;школа;55;True;;МО;Красногорск;Новорижское ш., ЖК «Монолит»;;;;;1;да;1935000;нет;да;;;та же сеть, полный день, 1–11 кл.;;https://lomon.ru/;
31;Школа № 171;ГБОУ города Москвы «Школа № 171»;Городская;школа;55;True;III степени;ЦАО;Хамовники;2-я Фрунзенская ул., д. 7А;3;27;13;68;;;;;;;;;;https://sch171c.mskobr.ru/;
32;Школа № 2070 им. Г.А. Вартаняна;ГБОУ города Москвы «Школа № 2070 имени Героя Советского Союза Г.А. Вартаняна»;Городская;школа;54;True;I степени;НАО;поселение Сосенское;пос. Сосенское, п. Коммунарка, ул. Липовый Парк, д. 5А;1;;24;;;;;;;;;;;https://sch2070.mskobr.ru/;
33;Школа «Интеллектуал»;ГБОУ города Москвы «Школа «Интеллектуал»;Городская;школа;53;True;III степени;ЗАО;Фили-Давыдково;Кременчугская ул., д. 11, стр. 4;3;13;;31;;;;;;;;;1;https://int.mskobr.ru/;
34;Школа на Юго-Востоке им. В.И. Чуйкова;ГБОУ города Москвы «Школа на Юго-Востоке имени Маршала В.И. Чуйкова»;Городская;школа;53;True;I степени;ЮВАО;Рязанский;Зеленодольская ул., д. 32, корп. 6;1;;28;;;;;;;;;;;https://schuv.mskobr.ru/;
35;Павловская гимназия;;Частная;гимназия;52;True;;МО;Истринский г.о.;д. Веледниково, ул. Живописная, д. 136 (Новая Рига);;;;;6;высокая;2250000;нет;да;;;кампус 10 га, бассейн, филиал балетной школы, полный цикл;;https://pavlovskayagymnasia.ru/;
36;Школа № 1533 «ЛИТ»;ГБОУ города Москвы «Школа № 1533 «ЛИТ»;Городская;школа;52;True;III степени;ЮЗАО;Гагаринский;Ломоносовский пр-т, д. 16;3;22;37;58;;;;;;;;;1;https://lyc1533.mskobr.ru/;
37;Школа № 218;ГБОУ города Москвы «Школа № 218»;Городская;школа;52;True;II степени;САО;Тимирязевский;ул. Вучетича, д. 6;2;30;;78;;;;;;;;;2;https://sch218.mskobr.ru/;"Юридический адрес — Дмитровское ш., 5А; указано здание старших классов (ул. Вучетича, 6)."
38;Академическая гимназия;;Частная;гимназия;51;True;;Москва / МО;—;"кампусы в Москве; Химки, мкр. Новогорск, Олимпийская ул., д. 15";;;43;;9;да;840000-1440000;нет;да;;;полный цикл: сад — 11 класс + колледж, сильная языковая программа;;https://academ-school.ru/;
39;Школа № 1253;ГБОУ города Москвы «Школа № 1253»;Городская;школа;51;True;II степени;ЦАО;Хамовники;Зубовский б-р, д. 5, стр. 1;2;47;20;;;;;;;;;;;https://sch1253c.mskobr.ru/;
40;Областная гимназия им. Е.М. Примакова;;Частная;гимназия;48;True;;МО;Одинцовский г.о.;д. Раздоры, Утренняя ул., д. 1;;;;;3;;800000-900000;да;да;;;1–11 кл., олимпиадная и языковая подготовка, частично субсидируется МО;;https://primakov.school/;
41;Университетская гимназия МГУ имени М.В. Ломоносова;Университетская гимназия МГУ имени М.В. Ломоносова;Вузовская;гимназия;48;True;;ЗАО;Раменки;Ломоносовский пр-т, д. 27, корп. 7;;3;25;6;;;;;;;;;;https://school.msu.ru/;
42;Школа «Покровский квартал»;ГБОУ города Москвы «Школа «Покровский квартал»;Городская;школа;46;True;II степени;ЦАО;Басманный;Большой Казённый пер., д. 9;2;;11;;;;;;;;;;;https://pkvartal.mskobr.ru/;
43;Школа № 2107;ГБОУ города Москвы «Школа № 2107»;Городская;школа;46;True;II степени;ЦАО;Мещанский;Большая Переяславская ул., д. 1, стр. 1;2;;15;;;;;;;;;;;https://sch2107.mskobr.ru/;
44;Школа «НИКА»;;Частная;школа;45;True;;ЮЗАО;Зюзино;"Малая Юшуньская ул., д. 4; Одесская ул., д. 21/29 + кампусы Фили, Нагатино, Чертаново";;;;;10;средняя;720000-1320000;нет;да;;;полный цикл (сад — 11 кл.), несколько кампусов;;https://nikaschool.ru/;
45;Школа № 1363;ГБОУ города Москвы «Школа № 1363»;Городская;школа;45;True;I степени;ЮВАО;Выхино-Жулебино;Рязанский пр-т, д. 82, корп. 4;1;;;;;;;;;;;;;https://sch1363uv.mskobr.ru/;
46;Школа № 2036;ГБОУ города Москвы «Школа № 2036»;Городская;школа;45;True;I степени;ВАО;Новокосино;ул. Татьяны Макаровой, д. 2;1;;;;;;;;;;;;;https://sch2036v.mskobr.ru/;
47;Школа № 67;ГБОУ города Москвы «Школа № 67»;Городская;школа;44;False;III степени;ЗАО;Дорогомилово;Кутузовский пр-т, д. 10, стр. 1;3;33;39;87;;;;;;;;;;https://sch67.mskobr.ru/;
48;Международная школа «Интеграция XXI век»;;Частная;школа;43;False;;СЗАО;Щукино;"1-й Волоколамский пр-д, д. 9, корп. 2; ул. Маршала Катукова, д. 16, корп. 3";;;;;7;;;нет;нет;;;международная программа, углублённые иностранные языки, IB;;https://integraciya.ru/;
49;Школа № 1409;ГБОУ города Москвы «Школа № 1409»;Городская;школа;43;False;II степени;САО;Хорошёвский;Ходынский б-р, д. 7;2;;26;;;;;;;;;;;https://gym1409s-new.mskobr.ru/;
50;Школа «Алгоритм»;;Частная;школа;42;False;;ЦАО;Красносельский;Милютинский пер. + филиалы;;;;;8;;960000-1320000;нет;нет;;;билингвальность (английский + китайский), подготовка к IB;;https://algoritm-school.ru/;
51;Школа № 1517;ГБОУ города Москвы «Школа № 1517»;Городская;школа;42;False;II степени;СЗАО;Щукино;Живописная ул., д. 11, корп. 1;2;;29;;;;;;;;;;;https://1517.mskobr.ru/;
52;Школа № 1575;ГБОУ города Москвы «Школа № 1575»;Городская;школа;42;False;II степени;САО;Аэропорт;ул. Усиевича, д. 6;2;45;;;;;;;;;;;;https://lyc1575.mskobr.ru/;
53;Школа № 1547;;Городская;школа;41;False;II степени;ЮВАО;Марьино;;2;;33;;;;;;;;;;;;
54;Гимназия Святителя Василия Великого;;Частная;гимназия;39;False;;МО;Одинцовский г.о.;д. Зайцево, Кокошкинское ш., д. 1;;;;;11;;1395000;нет;да;;;православная гимназия, стипендиальная программа, развозка;;https://vasiliada.ru/;
55;Хорошевская школа (Хорошкола);;Частная;школа;39;False;III степени;СЗАО;Хорошёво-Мнёвники;"ул. Народного Ополчения, д. 7А и 9А; ул. Маршала Тухачевского, д. 45, корп. 2";3;40;;99;;да;;нет;да;;;билингвальная среда, система «4К», тьюторство, планетарий, бассейн;;https://horoshkola.ru/;
56;Школа № 1589;ГБОУ города Москвы «Школа № 1589»;Городская;школа;39;False;IV степени;ЗАО;Кунцево;Инициативная ул., д. 1;4;21;;53;;;;;;;;;;https://lycc1589.mskobr.ru/;Район по списку ДОНМ — Фили-Давыдково, по официальному адресу — Кунцево.
57;Школа «Новогорск»;;Частная;школа;38;False;;МО;Химки;г. Химки, мкр. Новогорск;;;;;12;;;нет;нет;;;частная школа полного дня;;;
58;Школа № 1158;;Городская;школа;38;False;II степени;ЮАО;Чертаново Северное;;2;;45;;;;;;;;;;;;
59;Школа № 1298 «Профиль Куркино»;;Городская;школа;38;False;II степени;СЗАО;Куркино;;2;;47;;;;;;;;;;;;
60;Школа № 1474;;Городская;школа;38;False;II степени;САО;Ховрино;;2;;46;;;;;;;;;;;;
61;Школа № 1529 имени А.С. Грибоедова;ГБОУ города Москвы «Школа № 1529 имени А.С. Грибоедова»;Городская;школа;38;False;IV степени;ЦАО;Хамовники;2-й Обыденский пер., д. 9;4;23;;59;;;;;;;;;;https://gym1529c.mskobr.ru/;
62;Школа № 1557 им. П.Л. Капицы;;Городская;школа;38;False;II степени;ЗелАО;Савёлки;;2;;44;;;;;;;;;;;;
63;Образовательный центр «Протон»;;Городская;школа;34;False;II степени;ЗАО;Филёвский Парк;;2;;;;;;;;;;;;;;
64;Школа «Классика-М»;;Частная;школа;34;False;;МО;Мытищи;г. Мытищи;;;;;15;;;нет;нет;;;;;;
65;Школа «Марьина Роща» им. В.Ф. Орлова;;Городская;школа;34;False;II степени;СВАО;Марьина роща;;2;;;;;;;;;;;;;;
66;Школа № 1002;;Городская;школа;34;False;II степени;ЗАО;Солнцево;;2;;;;;;;;;;;;;;
67;Школа № 1194 им. Т.О. Расторгуева;;Городская;школа;34;False;II степени;ЗелАО;Крюково;;2;;;;;;;;;;;;;;
68;Школа № 1252 им. Сервантеса;;Городская;школа;34;False;II степени;САО;Сокол;;2;;;;;;;;;;;;;;
69;Школа № 1290;;Городская;школа;34;False;II степени;ВАО;Измайлово;;2;;;;;;;;;;;;;;
70;Школа № 1357 «На Братиславской»;;Городская;школа;34;False;II степени;ЮВАО;Марьино;;2;;;;;;;;;;;;;;
71;Школа № 1392 им. Д.В. Рябинкина;;Городская;школа;34;False;II степени;ТАО;Троицк;;2;;;;;;;;;;;;;;
72;Школа № 1504;;Городская;школа;34;False;II степени;ВАО;Ивановское;;2;;;;;;;;;;;;;;
73;Школа № 152;;Городская;школа;34;False;II степени;САО;Аэропорт;;2;;;;;;;;;;;;;;
74;Школа № 1538;;Городская;школа;34;False;II степени;СЗАО;Митино;;2;;;;;;;;;;;;;;
75;Школа № 1542;;Городская;школа;34;False;II степени;ЗАО;Солнцево;;2;;;;;;;;;;;;;;
76;Школа № 1558 им. Росалии де Кастро;;Городская;школа;34;False;II степени;СВАО;Бабушкинский;;2;;;;;;;;;;;;;;
77;Школа № 1571;;Городская;школа;34;False;II степени;СЗАО;Северное Тушино;;2;;;;;;;;;;;;;;
78;Школа № 1576;;Городская;школа;34;False;II степени;САО;Коптево;;2;;;;;;;;;;;;;;
79;Школа № 1748 «Вертикаль»;;Городская;школа;34;False;II степени;ВАО;Северное Измайлово;;2;;;;;;;;;;;;;;
80;Школа № 1811 «Восточное Измайлово»;;Городская;школа;34;False;II степени;ВАО;Восточное Измайлово;;2;;;;;;;;;;;;;;
81;Школа № 1980;;Городская;школа;34;False;II степени;ЮЗАО;Южное Бутово;;2;;;;;;;;;;;;;;
82;Школа № 2026;;Городская;школа;34;False;II степени;ВАО;Косино-Ухтомский;;2;;;;;;;;;;;;;;
83;Школа № 2048;;Городская;школа;34;False;II степени;ЮВАО;Некрасовка;;2;;;;;;;;;;;;;;
84;Школа № 2083;;Городская;школа;34;False;II степени;НАО;Щербинка;;2;;;;;;;;;;;;;;
85;Школа № 2089;;Городская;школа;34;False;II степени;ЮВАО;Некрасовка;;2;;;;;;;;;;;;;;
86;Школа № 2094;;Городская;школа;34;False;II степени;НАО;Коммунарка;;2;;;;;;;;;;;;;;
87;Школа № 2098 им. Л.М. Доватора;;Городская;школа;34;False;II степени;САО;Западное Дегунино;;2;;;;;;;;;;;;;;
88;Школа № 2109;;Городская;школа;34;False;II степени;НАО;Щербинка;;2;;;;;;;;;;;;;;
89;Школа № 2120;;Городская;школа;34;False;II степени;НАО;Филимонковский;;2;;;;;;;;;;;;;;
90;Школа № 2123 им. Мигеля Эрнандеса;;Городская;школа;34;False;II степени;ЦАО;Пресненский;;2;;;;;;;;;;;;;;
91;Школа № 2127;;Городская;школа;34;False;II степени;ВАО;Новокосино;;2;;;;;;;;;;;;;;
92;Школа № 338 им. А.Ф. Авдеева;;Городская;школа;34;False;II степени;НАО;Коммунарка;;2;;;;;;;;;;;;;;
93;Школа № 962;;Городская;школа;34;False;II степени;СВАО;Отрадное;;2;;;;;;;;;;;;;;
94;Школа-интернат № 1;;Городская;школа;34;False;II степени;СВАО;Алексеевский;;2;;;;;;;;;;;;;;
95;Школа «Светлые горы»;;Частная;школа;33;False;;МО;Красногорск;г. Красногорск;;;;;16;;;нет;да;;;полный цикл, развозка;;;
96;Экономический лицей РЭУ им. Г.В. Плеханова;Экономический лицей РЭУ имени Г.В. Плеханова;Вузовская;лицей;30;False;;ЦАО;Замоскворечье;Стремянный пер., д. 36;;25;32;64;;;;;;;;;;https://www.rea.ru/;"На сайте РЭУ указан адрес университета; фактические занятия — ул. Зацепа, 41 (официально не подтверждено)."
97;Школа «Солнечный ветер»;;Частная;школа;29;False;;Москва;—;Москва;;;;;20;;;нет;нет;;;;;;
98;Школа № 1317;;Городская;школа;28;False;III степени;ЗАО;Тропарёво-Никулино;;3;48;;;;;;;;;;;;;
99;Школа № 192;;Городская;школа;28;False;III степени;ЮЗАО;Гагаринский;;3;50;;;;;;;;;;;;;
100;Школа № 58;;Городская;школа;28;False;III степени;СЗАО;Строгино;;3;49;;;;;;;;;;;;;
101;Школа № 1231 им. В.Д. Поленова;;Городская;школа;27;False;III степени;ЦАО;Арбат;;3;;42;;;;;;;;;;;;
102;Школа № 1574;;Городская;школа;27;False;III степени;ЦАО;Тверской;;3;;40;;;;;;;;;;;;
103;Медицинский Сеченовский Предуниверсарий;Медицинский Сеченовский Предуниверсарий Первого МГМУ им. И.М. Сеченова;Вузовская;школа;25;False;;ЦАО;Хамовники;ул. Большая Пироговская, д. 2, стр. 2;;38;12;93;;;;;;;;;;https://www.sechenov.ru/;"Указан адрес корпуса по сайту вуза; адрес ул. Савельева, 5 встречается только в картах."
104;Школа № 1238;;Городская;школа;25;False;III степени;ЗАО;Ново-Переделкино;;3;;50;;;;;;;;;;;;
105;Марьинская школа № 1566;;Городская;школа;22;False;III степени;ЮВАО;Марьино;;3;;;;;;;;;;;;;;
106;Московская международная школа;;Городская;школа;22;False;III степени;ВАО;Перово;;3;;;;;;;;;;;;;;
107;Пансион воспитанниц Министерства обороны РФ;;Городская;школа;22;False;III степени;САО;Хорошёвский;;3;;;;;;;;;;;;;;
108;Школа «Глория»;;Городская;школа;22;False;III степени;СВАО;Бибирево;;3;;;;;;;;;;;;;;
109;Школа «Интеграл»;;Городская;школа;22;False;III степени;ЗАО;Филёвский Парк;;3;;;;;;;;;;;;;;
110;Школа «Свиблово»;;Городская;школа;22;False;III степени;СВАО;Свиблово;;3;;;;;;;;;;;;;;
111;Школа им. Артёма Боровика;;Городская;школа;22;False;III степени;ЮВАО;Марьино;;3;;;;;;;;;;;;;;
112;Школа на проспекте Вернадского;;Городская;школа;22;False;III степени;ЗАО;Тропарёво-Никулино;;3;;;;;;;;;;;;;;
113;Школа № 1018;;Городская;школа;22;False;III степени;ЗАО;Ново-Переделкино;;3;;;;;;;;;;;;;;
114;Школа № 1034 им. В.В. Маркина;;Городская;школа;22;False;III степени;ЮАО;Братеево;;3;;;;;;;;;;;;;;
115;Школа № 109;;Городская;школа;22;False;III степени;ЮЗАО;Тёплый Стан;;3;;;;;;;;;;;;;;
116;Школа № 1150 им. К.К. Рокоссовского;;Городская;школа;22;False;III степени;ЗелАО;Крюково;;3;;;;;;;;;;;;;;
117;Школа № 117;;Городская;школа;22;False;III степени;ЮЗАО;Ломоносовский;;3;;;;;;;;;;;;;;
118;Школа № 1195 им. П.И. Меренкова;;Городская;школа;22;False;III степени;ЗАО;Можайский;;3;;;;;;;;;;;;;;
119;Школа № 1208 им. М.С. Шумилова;;Городская;школа;22;False;III степени;ЮВАО;Кузьминки;;3;;;;;;;;;;;;;;
120;Школа № 1251 им. Шарля де Голля;;Городская;школа;22;False;III степени;САО;Сокол;;3;;;;;;;;;;;;;;
121;Школа № 1273;;Городская;школа;22;False;III степени;ЮЗАО;Коньково;;3;;;;;;;;;;;;;;
122;Школа № 1279 «Эврика»;;Городская;школа;22;False;III степени;ЮЗАО;Зюзино;;3;;;;;;;;;;;;;;
123;Школа № 1287;;Городская;школа;22;False;III степени;САО;Хорошёвский;;3;;;;;;;;;;;;;;
124;Школа № 1288 им. Н.В. Троян;;Городская;школа;22;False;III степени;САО;Хорошёвский;;3;;;;;;;;;;;;;;
125;Школа № 1293;;Городская;школа;22;False;III степени;ЗАО;Кунцево;;3;;;;;;;;;;;;;;
126;Школа № 1347;;Городская;школа;22;False;III степени;ЗАО;Солнцево;;3;;;;;;;;;;;;;;
127;Школа № 1353 им. Д.Ф. Алексеева;;Городская;школа;22;False;III степени;ЗелАО;Матушкино;;3;;;;;;;;;;;;;;
128;Школа № 1354 «Вектор»;;Городская;школа;22;False;III степени;ЮЗАО;Южное Бутово;;3;;;;;;;;;;;;;;
129;Школа № 1358;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;
130;Школа № 1359 им. М.Л. Миля;;Городская;школа;22;False;III степени;ЮВАО;Выхино-Жулебино;;3;;;;;;;;;;;;;;
131;Школа № 1362;;Городская;школа;22;False;III степени;ВАО;Соколиная Гора;;3;;;;;;;;;;;;;;
132;Школа № 1367;;Городская;школа;22;False;III степени;ЮВАО;Рязанский;;3;;;;;;;;;;;;;;
133;Школа № 1371 «Крылатское»;;Городская;школа;22;False;III степени;ЗАО;Крылатское;;3;;;;;;;;;;;;;;
134;Школа № 1391;;Городская;школа;22;False;III степени;ТАО;Бекасово;;3;;;;;;;;;;;;;;
135;Школа № 1400;;Городская;школа;22;False;III степени;ЗАО;Можайский;;3;;;;;;;;;;;;;;
136;Школа № 1411;;Городская;школа;22;False;III степени;СВАО;Отрадное;;3;;;;;;;;;;;;;;
137;Школа № 1420;;Городская;школа;22;False;III степени;ЮВАО;Выхино-Жулебино;;3;;;;;;;;;;;;;;
138;Школа № 1440;;Городская;школа;22;False;III степени;ЗАО;Крылатское;;3;;;;;;;;;;;;;;
139;Школа № 1449 им. М.В. Водопьянова;;Городская;школа;22;False;III степени;СВАО;Лианозово;;3;;;;;;;;;;;;;;
140;Школа № 1454 «Тимирязевская»;;Городская;школа;22;False;III степени;САО;Тимирязевский;;3;;;;;;;;;;;;;;
141;Школа № 1505 «Преображенская»;;Городская;школа;22;False;III степени;ВАО;Преображенское;;3;;;;;;;;;;;;;;
142;Школа № 1506;;Городская;школа;22;False;III степени;СВАО;Северное Медведково;;3;;;;;;;;;;;;;;
143;Школа № 1512 им. Алии Молдагуловой;;Городская;школа;22;False;III степени;ВАО;Вешняки;;3;;;;;;;;;;;;;;
144;Школа № 1532;;Городская;школа;22;False;III степени;ЮЗАО;Тёплый Стан;;3;;;;;;;;;;;;;;
145;Школа № 1537 «Информационные технологии»;;Городская;школа;22;False;III степени;СВАО;Ярославский;;3;;;;;;;;;;;;;;
146;Школа № 1541;;Городская;школа;22;False;III степени;ЗАО;Проспект Вернадского;;3;;;;;;;;;;;;;;
147;Школа № 1554;;Городская;школа;22;False;III степени;СВАО;Отрадное;;3;;;;;;;;;;;;;;
148;Школа № 1560 «Лидер»;;Городская;школа;22;False;III степени;СЗАО;Хорошёво-Мнёвники;;3;;;;;;;;;;;;;;
149;Школа № 1561;;Городская;школа;22;False;III степени;ЮЗАО;Ясенево;;3;;;;;;;;;;;;;;
150;Школа № 1564 им. А.П. Белобородова;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;
151;Школа № 1569 «Созвездие»;;Городская;школа;22;False;III степени;ЮАО;Зябликово;;3;;;;;;;;;;;;;;
152;Школа № 1570;;Городская;школа;22;False;III степени;САО;Беговой;;3;;;;;;;;;;;;;;
153;Школа № 1573;;Городская;школа;22;False;III степени;СВАО;Лианозово;;3;;;;;;;;;;;;;;
154;Школа № 1579;;Городская;школа;22;False;III степени;ЮАО;Москворечье-Сабурово;;3;;;;;;;;;;;;;;
155;Школа № 1584;;Городская;школа;22;False;III степени;ЗАО;Кунцево;;3;;;;;;;;;;;;;;
156;Школа № 1591;;Городская;школа;22;False;III степени;ВАО;Новокосино;;3;;;;;;;;;;;;;;
157;Школа № 17;;Городская;школа;22;False;III степени;ЮЗАО;Коньково;;3;;;;;;;;;;;;;;
158;Школа № 1747 им. Д.М. Румянцева;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;
159;Школа № 1788;;Городская;школа;22;False;III степени;НАО;Внуково;;3;;;;;;;;;;;;;;
160;Школа № 1793 им. А.К. Новикова;;Городская;школа;22;False;III степени;ЮВАО;Выхино-Жулебино;;3;;;;;;;;;;;;;;
