school_id;name;category;tier;marked;index;grant;okrug;district;address;site;korpusov;lat;lon;geo_precision
sunts-mgu-shkola-internat-im-a-n-kolmogorova;СУНЦ МГУ (школа-интернат им. А.Н. Колмогорова);Вузовская;Отметка;да;80;III степени;ЗАО;Фили-Давыдково;Кременчугская ул., д. 11;https://internat.msu.ru/;2;55.71928;37.46443;дом
shkola-1514;Школа № 1514;Городская;Отметка;да;80;I степени;ЗАО;Раменки;ул. Крупской, д. 12;https://gym1514uz.mskobr.ru/;6;55.68511;37.52700;дом
baumanskaya-inzhenernaya-shkola-1580;Бауманская инженерная школа № 1580;Городская;Отметка;да;79;I степени;ЮЗАО;Зюзино;Балаклавский пр-т, д. 6А;https://lycu1580.mskobr.ru/;2;55.64161;37.61263;дом
shkola-444;Школа № 444;Городская;Отметка;да;77;I степени;ВАО;Измайлово;Нижняя Первомайская ул., д. 14;https://schv444.mskobr.ru/;3;55.79068;37.79648;дом
litsey-vorobevy-gory;Лицей «Воробьёвы горы»;Городская;Отметка;да;75;II степени;ЮАО;Донской;Донская ул., д. 37;https://vg.mskobr.ru/;2;55.71882;37.60518;дом
litsey-finansovogo-universiteta;Лицей Финансового университета;Вузовская;Отметка;да;75;III степени;САО;Аэропорт;Ленинградский пр-т, д. 51, корп. 4;https://www.fa.ru/;1;55.79476;37.54456;улица
shkola-1543;Школа № 1543;Городская;Отметка;да;75;II степени;ЗАО;Тропарёво-Никулино;ул. 26 Бакинских Комиссаров, д. 3, корп. 5;https://gym1543.mskobr.ru/;2;55.656031;37.486605;корпус
shkola-na-yugo-vostoke-im-v-i-chuykova;Школа на Юго-Востоке им. В.И. Чуйкова;Городская;Отметка;да;66;I степени;ЮВАО;Рязанский;Зеленодольская ул., д. 32, корп. 6;https://schuv.mskobr.ru/;3;55.71168;37.76698;дом
kurchatovskaya-shkola;Курчатовская школа;Городская;Отметка;да;65;I степени;СЗАО;Щукино;ул. Маршала Василевского, д. 7, корп. 1;https://kurchat.mskobr.ru/;8;55.80455;37.47121;дом
universitetskaya-gimnaziya-mgu-imeni-m-v-lomonosova;Университетская гимназия МГУ имени М.В. Ломоносова;Вузовская;Отметка;да;64;;ЗАО;Раменки;Ломоносовский пр-т, д. 27, корп. 7;https://school.msu.ru/;1;55.69477;37.52462;дом
shkola-548-tsaritsyno;Школа № 548 «Царицыно»;Городская;Отметка;да;64;I степени;ЮАО;Орехово-Борисово Южное;ул. Домодедовская, д. 35, корп. 2;https://cou548.mskobr.ru/;4;55.60197;37.71725;дом
shkola-1518;Школа № 1518;Городская;Отметка;да;63;II степени;СВАО;Алексеевский;пр-т Мира, д. 87;https://gum1518.mskobr.ru/;2;55.80362;37.63511;дом
klassicheskiy-pansion-mgu;Классический пансион МГУ;Частная;Отметка;да;62;;ЗАО;Очаково-Матвеевское;ул. Лобачевского, д. 118, корп. 3;https://pansionmsu.ru/;2;55.69415;37.47161;дом
preduniversitariy-mifi;Предуниверситарий МИФИ;Вузовская;Отметка;да;62;II степени;ЮАО;Москворечье-Сабурово;Каширское ш., д. 31;https://mephi.ru/;1;55.65045;37.66580;дом
lomonosovskaya-shkola;Ломоносовская школа;Частная;Отметка;да;60;;ЗАО;Очаково-Матвеевское;Аминьевское ш., д. 18, корп. 4;https://lomon.ru/;3;55.71443;37.45594;дом
shkola-intellektual;Школа «Интеллектуал»;Городская;Отметка;да;55;III степени;ЗАО;Фили-Давыдково;Кременчугская ул., д. 11, стр. 4;https://int.mskobr.ru/;1;55.71928;37.46443;дом
shkola-2070-im-g-a-vartanyana;Школа № 2070 им. Г.А. Вартаняна;Городская;Отметка;да;55;I степени;НАО;поселение Сосенское;пос. Сосенское, п. Коммунарка, ул. Липовый Парк, д. 5А;https://sch2070.mskobr.ru/;3;55.56753;37.49307;дом
shkola-1547;Школа № 1547;Городская;Отметка;да;54;II степени;ЮВАО;Марьино;;;2;55.66386;37.76733;объект (школа в OSM)
shkola-1252-im-servantesa;Школа № 1252 им. Сервантеса;Городская;Отметка;да;53;II степени;САО;Сокол;;;2;55.81021;37.49634;здание школы по номеру (OSM) — сверить
shkola-1253;Школа № 1253;Городская;Отметка;да;53;II степени;ЦАО;Хамовники;Зубовский б-р, д. 5, стр. 1;https://sch1253c.mskobr.ru/;2;55.73460;37.59225;дом
shkola-1329;Школа № 1329;Городская;Отметка;да;53;I степени;ЗАО;Тропарёво-Никулино;Никулинская ул., д. 10;https://sch1329.mskobr.ru/;2;55.66892;37.46466;дом
shkola-2123-im-migelya-ernandesa;Школа № 2123 им. Мигеля Эрнандеса;Городская;Отметка;да;53;II степени;ЦАО;Пресненский;;;1;55.75689;37.59493;здание школы по номеру (OSM) — сверить
shkola-2036;Школа № 2036;Городская;Отметка;да;52;I степени;ВАО;Новокосино;ул. Татьяны Макаровой, д. 2;https://sch2036v.mskobr.ru/;2;55.71022;37.88721;дом
shkola-1533-lit;Школа № 1533 «ЛИТ»;Городская;Отметка;да;48;III степени;ЮЗАО;Гагаринский;Ломоносовский пр-т, д. 16;https://lyc1533.mskobr.ru/;2;55.69237;37.54375;дом
shkola-218;Школа № 218;Городская;Отметка;да;48;II степени;САО;Тимирязевский;ул. Вучетича, д. 6;https://sch218.mskobr.ru/;2;55.80866;37.56059;дом
akademicheskaya-shkola-1534;Академическая школа № 1534;Городская;Отметка;да;47;II степени;ЮЗАО;Академический;ул. Кедрова, д. 11;https://gym1534uz.mskobr.ru/;4;55.68520;37.57427;дом
shkola-1575;Школа № 1575;Городская;Отметка;да;47;II степени;САО;Аэропорт;ул. Усиевича, д. 6;https://lyc1575.mskobr.ru/;2;55.80502;37.53174;дом
chastnaya-shkola-zolotoe-sechenie;Частная школа «Золотое сечение»;Частная;Отметка;да;46;;ЦАО;Якиманка;"Ленинский пр-т, д. 13А (5–11 кл.); Комсомольский пр-т, д. 45 (начальная)";https://gold-school.ru/;2;55.72199;37.60358;дом
shkola-1501;Школа № 1501;Городская;Отметка;да;45;I степени;ЦАО;Тверской;Тихвинский пер., д. 3;https://lycc1501.mskobr.ru/;4;55.78774;37.59571;дом
shkola-171;Школа № 171;Городская;Отметка;да;45;III степени;ЦАО;Хамовники;2-я Фрунзенская ул., д. 7А;https://sch171c.mskobr.ru/;2;55.72231;37.57961;дом
shkola-2086;Школа № 2086;Городская;Отметка;да;45;II степени;ЮЗАО;Гагаринский;Университетский пр-т, д. 5;https://sch2086uz.mskobr.ru/;2;55.69579;37.55150;дом
shkola-2107;Школа № 2107;Городская;Отметка;да;44;II степени;ЦАО;Мещанский;Большая Переяславская ул., д. 1, стр. 1;https://sch2107.mskobr.ru/;5;55.78977;37.64134;улица (дом не найден)
shkola-1409;Школа № 1409;Городская;Отметка;да;43;II степени;САО;Хорошёвский;Ходынский б-р, д. 7;https://gym1409s-new.mskobr.ru/;2;55.78374;37.53057;дом
shkola-1589;Школа № 1589;Городская;Отметка;да;43;IV степени;ЗАО;Кунцево;Инициативная ул., д. 1;https://lycc1589.mskobr.ru/;1;55.71652;37.46083;дом
shkola-1504;Школа № 1504;Городская;Отметка;да;42;II степени;ВАО;Ивановское;;;2;55.76285;37.83823;здание школы по номеру (OSM) — сверить
oblastnaya-gimnaziya-im-e-m-primakova;Областная гимназия им. Е.М. Примакова;Частная;Отметка;да;41;;МО;Одинцовский г.о.;д. Раздоры, Утренняя ул., д. 1;https://primakov.school/;1;55.74728;37.29758;населённый пункт
shkola-1517;Школа № 1517;Городская;Отметка;да;40;II степени;СЗАО;Щукино;Живописная ул., д. 11, корп. 1;https://1517.mskobr.ru/;4;55.78522;37.45324;дом
shkola-1541;Школа № 1541;Городская;Отметка;да;40;III степени;ЗАО;Проспект Вернадского;пр-т Вернадского, д. 55;;3;55.66720;37.50888;здание школы по номеру (OSM) — сверить
inzhenernaya-shkola-1581;Инженерная школа № 1581;Городская;На заметку;нет;39;III степени;ЦАО;Басманный;Большой Полуярославский пер., д. 7;https://lycc1581.mskobr.ru/;3;55.75275;37.66264;дом
lomonosovskaya-shkola-intek;Ломоносовская школа «ИнТек»;Частная;На заметку;нет;39;;МО;Красногорск;Новорижское ш., ЖК «Монолит»;https://lomon.ru/;0;;;
shkola-1363;Школа № 1363;Городская;На заметку;нет;39;I степени;ЮВАО;Выхино-Жулебино;Рязанский пр-т, д. 82, корп. 4;https://sch1363uv.mskobr.ru/;7;55.70777;37.82419;дом
shkola-1980;Школа № 1980;Городская;На заметку;нет;39;II степени;ЮЗАО;Южное Бутово;;;1;55.53457;37.53278;здание школы по номеру (OSM) — сверить
horoshevskaya-shkola-horoshkola;Хорошевская школа (Хорошкола);Частная;На заметку;нет;38;III степени;СЗАО;Хорошёво-Мнёвники;"ул. Народного Ополчения, д. 7А и 9А; ул. Маршала Тухачевского, д. 45, корп. 2";https://horoshkola.ru/;1;55.77075;37.47070;дом
shkola-1557-im-p-l-kapitsy;Школа № 1557 им. П.Л. Капицы;Городская;На заметку;нет;38;II степени;ЗелАО;Савёлки;;;1;55.99292;37.21749;здание школы по номеру (OSM) — сверить
akademicheskaya-gimnaziya;Академическая гимназия;Частная;На заметку;нет;37;;Москва / МО;—;"кампусы в Москве; Химки, мкр. Новогорск, Олимпийская ул., д. 15";https://academ-school.ru/;1;55.90335;37.35936;дом
pavlovskaya-gimnaziya;Павловская гимназия;Частная;На заметку;нет;37;;МО;Истринский г.о.;д. Веледниково, ул. Живописная, д. 136 (Новая Рига);https://pavlovskayagymnasia.ru/;1;55.79854;37.11751;населённый пункт
shkola-nika;Школа «НИКА»;Частная;На заметку;нет;37;;ЮЗАО;Зюзино;"Малая Юшуньская ул., д. 4; Одесская ул., д. 21/29 + кампусы Фили, Нагатино, Чертаново";https://nikaschool.ru/;2;55.65449;37.59516;дом
shkola-1558-im-rosalii-de-kastro;Школа № 1558 им. Росалии де Кастро;Городская;На заметку;нет;37;II степени;СВАО;Бабушкинский;;;2;55.86859;37.65332;здание школы по номеру (OSM) — сверить
shkola-2083;Школа № 2083;Городская;На заметку;нет;37;II степени;НАО;Щербинка;;;1;55.49304;37.50245;здание школы по номеру (OSM) — сверить
shkola-pokrovskiy-kvartal;Школа «Покровский квартал»;Городская;На заметку;нет;36;II степени;ЦАО;Басманный;Большой Казённый пер., д. 9;https://pkvartal.mskobr.ru/;7;55.76063;37.65554;дом
shkola-192;Школа № 192;Городская;На заметку;нет;36;III степени;ЮЗАО;Гагаринский;;;1;55.70670;37.57490;объект (школа в OSM)
shkola-625;Школа № 625;Городская;На заметку;нет;36;III степени;ЮЗАО;Академический;;;2;55.69233;37.59288;здание школы по номеру (OSM) — сверить
shkola-algoritm;Школа «Алгоритм»;Частная;На заметку;нет;35;;ЦАО;Красносельский;Милютинский пер. + филиалы;https://algoritm-school.ru/;1;55.76478;37.63332;объект (школа в OSM)
shkola-67;Школа № 67;Городская;На заметку;нет;35;III степени;ЗАО;Дорогомилово;Кутузовский пр-т, д. 10, стр. 1;https://sch67.mskobr.ru/;5;55.74867;37.55875;дом
shkola-1529-imeni-a-s-griboedova;Школа № 1529 имени А.С. Грибоедова;Городская;На заметку;нет;34;IV степени;ЦАО;Хамовники;2-й Обыденский пер., д. 9;https://gym1529c.mskobr.ru/;4;55.74146;37.60321;дом
shuvalovskaya-shkola-1448;Шуваловская школа № 1448;Городская;На заметку;нет;34;группа 5;ЗАО;Раменки;;;2;55.72081;37.51169;здание школы по номеру (OSM) — сверить
shkola-152;Школа № 152;Городская;На заметку;нет;33;II степени;САО;Аэропорт;;;3;55.80310;37.53096;объект (отделение школы в OSM)
shkola-2098-im-l-m-dovatora;Школа № 2098 им. Л.М. Доватора;Городская;На заметку;нет;32;II степени;САО;Западное Дегунино;;;2;55.87881;37.51043;здание школы по номеру (OSM) — сверить
mezhdunarodnaya-shkola-integratsiya-xxi-vek;Международная школа «Интеграция XXI век»;Частная;На заметку;нет;31;;СЗАО;Щукино;"1-й Волоколамский пр-д, д. 9, корп. 2; ул. Маршала Катукова, д. 16, корп. 3";https://integraciya.ru/;2;55.80092;37.48986;дом
shkola-1474;Школа № 1474;Городская;На заметку;нет;31;II степени;САО;Ховрино;;;7;55.86594;37.50084;объект (школа в OSM)
shkola-2026;Школа № 2026;Городская;На заметку;нет;31;II степени;ВАО;Косино-Ухтомский;;;1;55.71782;37.88405;здание школы по номеру (OSM) — сверить
shkola-1317;Школа № 1317;Городская;На заметку;нет;30;III степени;ЗАО;Тропарёво-Никулино;;;1;55.67139;37.47051;здание школы по номеру (OSM) — сверить
shkola-1357-na-bratislavskoy;Школа № 1357 «На Братиславской»;Городская;На заметку;нет;30;II степени;ЮВАО;Марьино;;;7;55.65055;37.76250;здание школы по номеру (OSM) — сверить
shkola-marina-roscha-im-v-f-orlova;Школа «Марьина Роща» им. В.Ф. Орлова;Городская;На заметку;нет;29;II степени;СВАО;Марьина роща;;;3;55.78912;37.61601;объект (школа в OSM)
shkola-na-prospekte-vernadskogo;Школа на проспекте Вернадского;Городская;На заметку;нет;29;III степени;ЗАО;Тропарёво-Никулино;;;3;55.65344;37.48357;объект (школа в OSM)
shkola-1194-im-t-o-rastorgueva;Школа № 1194 им. Т.О. Расторгуева;Городская;На заметку;нет;29;II степени;ЗелАО;Крюково;;;1;55.98010;37.15349;здание школы по номеру (OSM) — сверить
shkola-1571;Школа № 1571;Городская;На заметку;нет;29;II степени;СЗАО;Северное Тушино;;;6;55.85675;37.44407;здание школы по номеру (OSM) — сверить
shkola-962;Школа № 962;Городская;На заметку;нет;29;II степени;СВАО;Отрадное;;;5;55.85533;37.58770;объект (школа в OSM)
gimnaziya-svyatitelya-vasiliya-velikogo;Гимназия Святителя Василия Великого;Частная;На заметку;нет;28;;МО;Одинцовский г.о.;д. Зайцево, Кокошкинское ш., д. 1;https://vasiliada.ru/;0;;;
shkola-1542;Школа № 1542;Городская;На заметку;нет;28;II степени;ЗАО;Солнцево;;;3;55.64680;37.39935;здание школы по номеру (OSM) — сверить
shkola-1574;Школа № 1574;Городская;На заметку;нет;28;III степени;ЦАО;Тверской;;;3;55.77977;37.59685;здание школы по номеру (OSM) — сверить
shkola-1576;Школа № 1576;Городская;На заметку;нет;28;II степени;САО;Коптево;;;5;55.84169;37.54186;объект (школа в OSM)
shkola-2089;Школа № 2089;Городская;На заметку;нет;28;II степени;ЮВАО;Некрасовка;;;1;55.68441;37.91831;здание школы по номеру (OSM) — сверить
shkola-novogorsk;Школа «Новогорск»;Частная;На заметку;нет;27;;МО;Химки;г. Химки, мкр. Новогорск;;1;55.89395;37.34720;объект (школа в OSM)
shkola-1002;Школа № 1002;Городская;На заметку;нет;27;II степени;ЗАО;Солнцево;;;4;55.64911;37.39881;здание школы по номеру (OSM) — сверить
shkola-1158;Школа № 1158;Городская;На заметку;нет;27;II степени;ЮАО;Чертаново Северное;;;4;55.63436;37.59625;объект (школа в OSM)
shkola-1298-profil-kurkino;Школа № 1298 «Профиль Куркино»;Городская;На заметку;нет;27;II степени;СЗАО;Куркино;;;1;55.90040;37.38401;здание школы по номеру (OSM) — сверить
shkola-1950;Школа № 1950;Городская;На заметку;нет;27;IV степени;ЦАО;Пресненский;;;2;55.76837;37.58815;объект (школа в OSM)
shkola-2120;Школа № 2120;Городская;На заметку;нет;27;II степени;НАО;Филимонковский;;;2;55.59299;37.37221;здание школы по номеру (OSM) — сверить
shkola-58;Школа № 58;Городская;На заметку;нет;27;III степени;СЗАО;Строгино;ул. Твардовского, д. 12А;;1;55.67842;37.53933;объект (школа в OSM)
obrazovatelnyy-tsentr-proton;Образовательный центр «Протон»;Городская;На заметку;нет;26;II степени;ЗАО;Филёвский Парк;;;2;55.73948;37.50195;объект (отделение школы в OSM)
shkola-1290;Школа № 1290;Городская;На заметку;нет;26;II степени;ВАО;Измайлово;;;2;55.79399;37.79319;здание школы по номеру (OSM) — сверить
shkola-1362;Школа № 1362;Городская;На заметку;нет;26;III степени;ВАО;Соколиная Гора;Лечебная ул., д. 20;;3;55.78191;37.73238;объект (школа в OSM)
shkola-1811-vostochnoe-izmaylovo;Школа № 1811 «Восточное Измайлово»;Городская;На заметку;нет;26;II степени;ВАО;Восточное Измайлово;;;5;55.79174;37.81267;здание школы по номеру (OSM) — сверить
shkola-2109;Школа № 2109;Городская;На заметку;нет;26;II степени;НАО;Щербинка;;;1;55.50199;37.59319;здание школы по номеру (OSM) — сверить
shkola-2127;Школа № 2127;Городская;На заметку;нет;26;II степени;ВАО;Новокосино;;;0;;;
shkola-7;Школа № 7;Городская;На заметку;нет;26;III степени;ЮЗАО;Ломоносовский;;;6;55.683455;37.524123;корпус
shkola-klassika-m;Школа «Классика-М»;Частная;На заметку;нет;25;;МО;Мытищи;г. Мытищи;;2;55.91201;37.73669;объект (школа в OSM)
shkola-1537-informatsionnye-tehnologii;Школа № 1537 «Информационные технологии»;Городская;На заметку;нет;25;III степени;СВАО;Ярославский;ул. Проходчиков, д. 9;;1;55.87423;37.71922;здание школы по номеру (OSM) — сверить
shkola-2031;Школа № 2031;Городская;На заметку;нет;25;III степени;ВАО;Косино-Ухтомский;;;1;55.71354;37.85203;здание школы по номеру (OSM) — сверить
shkola-2048;Школа № 2048;Городская;На заметку;нет;25;II степени;ЮВАО;Некрасовка;;;1;55.759310;37.517635;корпус
ekonomicheskiy-litsey-reu-im-g-v-plehanova;Экономический лицей РЭУ им. Г.В. Плеханова;Вузовская;На заметку;нет;25;;ЦАО;Замоскворечье;Стремянный пер., д. 36;https://www.rea.ru/;1;55.72764;37.62801;дом
shkola-svetlye-gory;Школа «Светлые горы»;Частная;;нет;24;;МО;Красногорск;г. Красногорск;;1;55.86762;37.32597;объект (школа в OSM)
shkola-1231-im-v-d-polenova;Школа № 1231 им. В.Д. Поленова;Городская;Лучшая в районе;нет;24;III степени;ЦАО;Арбат;Спасопесковский пер., д. 6, стр. 7;;6;55.74981;37.58904;здание школы по номеру (OSM) — сверить
shkola-1287;Школа № 1287;Городская;;нет;24;III степени;САО;Хорошёвский;;;2;55.79623;37.52057;здание школы по номеру (OSM) — сверить
shkola-1392-im-d-v-ryabinkina;Школа № 1392 им. Д.В. Рябинкина;Городская;Лучшая в районе;нет;24;II степени;ТАО;Троицк;;;1;55.51125;37.34836;здание школы по номеру (OSM) — сверить
shkola-1538;Школа № 1538;Городская;Лучшая в районе;нет;24;II степени;СЗАО;Митино;;;3;55.84119;37.37514;объект (школа в OSM)
shkola-1748-vertikal;Школа № 1748 «Вертикаль»;Городская;Лучшая в районе;нет;24;II степени;ВАО;Северное Измайлово;;;6;55.81986;37.86386;здание школы по номеру (OSM) — сверить
shkola-2094;Школа № 2094;Городская;Лучшая в районе;нет;24;II степени;НАО;Коммунарка;;;6;55.60434;37.41850;здание школы по номеру (OSM) — сверить
shkola-338-im-a-f-avdeeva;Школа № 338 им. А.Ф. Авдеева;Городская;;нет;24;II степени;НАО;Коммунарка;;;1;55.54991;37.50821;объект (школа в OSM)
shkola-627-im-d-d-lelyushenko;Школа № 627 им. Д.Д. Лелюшенко;Городская;;нет;24;III степени;ЦАО;Замоскворечье;Дубининская ул., д. 42;;4;55.73311;37.63605;объект (школа в OSM)
shkola-2051;Школа № 2051;Городская;;нет;23;III степени;ЮВАО;Некрасовка;;;1;55.70139;37.91764;здание школы по номеру (OSM) — сверить
shkola-internat-1;Школа-интернат № 1;Городская;;нет;23;II степени;СВАО;Алексеевский;;;1;55.807364;37.644416;корпус
marinskaya-shkola-1566;Марьинская школа № 1566;Городская;;нет;22;III степени;ЮВАО;Марьино;;;2;55.64834;37.75647;здание школы по номеру (OSM) — сверить
shkola-1251-im-sharlya-de-gollya;Школа № 1251 им. Шарля де Голля;Городская;;нет;22;III степени;САО;Сокол;;;3;55.79418;37.50684;здание школы по номеру (OSM) — сверить
shkola-1449-im-m-v-vodopyanova;Школа № 1449 им. М.В. Водопьянова;Городская;Лучшая в районе;нет;22;III степени;СВАО;Лианозово;;;2;55.897095;37.571158;корпус
shkola-2009;Школа № 2009;Городская;;нет;22;III степени;ЮЗАО;Южное Бутово;;;1;55.54084;37.51972;объект (школа в OSM)
shkola-2044-im-a-m-serebryakova;Школа № 2044 им. А.М. Серебрякова;Городская;Лучшая в районе;нет;22;III степени;СВАО;Северный;Дмитровское ш., д. 165Е, корп. 8;;3;55.93215;37.54088;объект (школа в OSM)
shkola-2045-im-d-a-razumovskogo;Школа № 2045 им. Д.А. Разумовского;Городская;;нет;22;III степени;ЗелАО;Крюково;;;1;55.97301;37.16361;объект (школа в OSM)
shkola-2097;Школа № 2097;Городская;Лучшая в районе;нет;22;III степени;СЗАО;Южное Тушино;Аэродромная ул., д. 9;;4;55.83892;37.40424;здание школы по номеру (OSM) — сверить
shkola-solnechnyy-veter;Школа «Солнечный ветер»;Частная;;нет;21;;Москва;—;Москва;;1;55.63195;37.47704;объект (школа в OSM)
shkola-1288-im-n-v-troyan;Школа № 1288 им. Н.В. Троян;Городская;;нет;21;III степени;САО;Хорошёвский;;;5;55.77761;37.52915;здание школы по номеру (OSM) — сверить
shkola-1359-im-m-l-milya;Школа № 1359 им. М.Л. Миля;Городская;;нет;21;III степени;ЮВАО;Выхино-Жулебино;;;2;55.70159;37.84487;здание школы по номеру (OSM) — сверить
shkola-1440;Школа № 1440;Городская;Лучшая в районе;нет;21;III степени;ЗАО;Крылатское;Осенний б-р, д. 10, корп. 3;;1;55.75752;37.41269;объект (школа в OSM)
shkola-1579;Школа № 1579;Городская;;нет;21;III степени;ЮАО;Москворечье-Сабурово;;;2;55.65060;37.63252;объект (школа в OSM)
shkola-17;Школа № 17;Городская;Лучшая в районе;нет;21;III степени;ЮЗАО;Коньково;;;5;55.63834;37.52802;объект (отделение школы в OSM)
shkola-2087-otkrytie;Школа № 2087 «Открытие»;Городская;;нет;21;III степени;ЮВАО;Марьино;;;0;;;
meditsinskiy-sechenovskiy-preduniversariy;Медицинский Сеченовский Предуниверсарий;Вузовская;;нет;20;;ЦАО;Хамовники;ул. Большая Пироговская, д. 2, стр. 2;https://www.sechenov.ru/;1;55.73490;37.57949;улица (дом не найден)
shkola-gloriya;Школа «Глория»;Городская;Лучшая в районе;нет;20;III степени;СВАО;Бибирево;;;3;55.90193;37.59056;объект (школа в OSM)
shkola-integral;Школа «Интеграл»;Городская;;нет;20;III степени;ЗАО;Филёвский Парк;;;1;55.73896;37.50208;объект (школа в OSM)
shkola-117;Школа № 117;Городская;;нет;20;III степени;ЮЗАО;Ломоносовский;;;3;55.67415;37.52824;объект (школа в OSM)
shkola-1400;Школа № 1400;Городская;Лучшая в районе;нет;20;III степени;ЗАО;Можайский;Можайское ш., д. 38, корп. 7;;1;55.72097;37.41140;здание школы по номеру (OSM) — сверить
shkola-1506;Школа № 1506;Городская;Лучшая в районе;нет;20;III степени;СВАО;Северное Медведково;Широкая ул., д. 1А;;1;55.88976;37.65047;здание школы по номеру (OSM) — сверить
shkola-1553-im-v-i-vernadskogo;Школа № 1553 им. В.И. Вернадского;Городская;Лучшая в районе;нет;20;IV степени;ЮАО;Даниловский;;;2;55.72107;37.64910;здание школы по номеру (OSM) — сверить
shkola-1944;Школа № 1944;Городская;;нет;20;III степени;СЗАО;Митино;;;2;55.84262;37.34949;здание школы по номеру (OSM) — сверить
shkola-2005;Школа № 2005;Городская;;нет;20;III степени;СЗАО;Куркино;;;2;55.89449;37.39614;объект (школа в OSM)
novaya-shkola;Новая школа;Частная;;нет;19;;ЗАО;Раменки;Мосфильмовская ул., д. 88, стр. 5;https://n.school/;1;55.70289;37.49126;дом
pervyy-moskovskiy-kadetskiy-korpus;Первый Московский кадетский корпус;Городская;;нет;19;группа 5;САО;Тимирязевский;;;1;55.815198;37.559530;корпус
preduniversitariy-mglu;Предуниверситарий МГЛУ;Вузовская;;нет;19;;ЦАО;Хамовники;ул. Остоженка, д. 36;https://linguanet.ru/;1;55.73914;37.59536;дом
shkola-1293;Школа № 1293;Городская;;нет;19;III степени;ЗАО;Кунцево;;;2;55.74285;37.41061;здание школы по номеру (OSM) — сверить
shkola-1306-shkola-molodyh-politikov;Школа № 1306 — «Школа молодых политиков»;Городская;;нет;19;;ЗАО;Раменки;Мичуринский пр-т, д. 15, корп. 2;https://gymg1306.mskobr.ru/;2;55.69821;37.50949;дом
shkola-1354-vektor;Школа № 1354 «Вектор»;Городская;;нет;19;III степени;ЮЗАО;Южное Бутово;;;1;55.54993;37.56306;здание школы по номеру (OSM) — сверить
shkola-1532;Школа № 1532;Городская;Лучшая в районе;нет;19;III степени;ЮЗАО;Тёплый Стан;;;4;55.62192;37.49149;здание школы по номеру (OSM) — сверить
shkola-1560-lider;Школа № 1560 «Лидер»;Городская;;нет;19;III степени;СЗАО;Хорошёво-Мнёвники;;;5;55.77079;37.49256;объект (школа в OSM)
mezhdunarodnaya-gimnaziya-skolkovo;Международная гимназия «Сколково»;Частная;;нет;18;;ЗАО;Можайский;ул. Зворыкина, д. 4;https://sk.ru/;1;55.69151;37.35156;дом
pansion-vospitannits-ministerstva-oborony-rf;Пансион воспитанниц Министерства обороны РФ;Городская;;нет;18;III степени;САО;Хорошёвский;;;1;55.77726;37.54521;объект (школа в OSM)
shkola-sviblovo;Школа «Свиблово»;Городская;Лучшая в районе;нет;18;III степени;СВАО;Свиблово;ул. Седова, д. 4, корп. 1;;7;55.85380;37.65932;объект (школа в OSM)
shkola-prava-i-ekonomiki;Школа права и экономики;Городская;;нет;18;;;;;;1;55.78311;37.08115;объект (школа в OSM)
