dev_id;developer;otkrytost;sayt;katalog;filtry;planirovki;primer;proverennye_proekty;primechanie;provereno;zhk_v_prodazhe_v_baze
kontsern-krost;Концерн КРОСТ;открыто;https://krost.ru;https://krost.ru/flats/;да;да;Театральный квартал: 2-комн. 57,1 м², Дом «Жолтовский», 10 эт. — 38 828 000 ₽;Театральный квартал, Wellton SPA Residence, Wellton Towers, Высотка на Жукова, Дом «Малевич», Трилогия «Кристалл»;"Каталог квартир krost.ru/flats (430 лотов по 8 проектам, в т.ч. СПб «Невский Плаза») с ценой, старой ценой при скидке, площадью, этажом, корпусом, планировками; фильтры по проекту/комнатам/цене. Главная страница в браузере тяжёлая (подвисает), но данные каталога доступны. Wellton Gold в каталоге и в списке проектов отсутствует; Wellton Towers — 2 лота.";23.09.2026;6
capital-group;Capital Group;открыто;https://www.capitalgroup.ru;https://cg-projects.ru/flats;да;да;Мастерс: 2-комн. 80,8 м² (секц. 3, эт. 16) — 54,90 млн;Мастерс (Masters), Capital Towers (Кэпитал Тауэрс), Sky House (Скай Хаус);"Общий каталог cg-projects.ru/flats с ценами лотов; capitaltowers.ru/catalog/flats не открылся (too many redirects), zhk-uzory.com не резолвится; на capitalgroup.ru только описания";23.09.2026;5
sezar-group;Sezar Group;открыто;https://sezar-group.ru;https://sezar-group.ru/flats/;да;да;Сезар Сити: 1-комн. 47,5 м² (корп. 2, секц. 1, эт. 3) — 24,89 млн;Сезар Сити (SEZAR CITY), Сезар Силика, Сезар Будущее (Sezar Future);"Общий каталог лотов с ценой, площадью, корпусом, этажом; фильтрованные по проекту URL закрыты robots.txt";23.09.2026;5
gk-pioner;ГК Пионер;открыто;https://www.pioneer.ru;https://highlife.ru/search;да;да;Хай Лайф: 1-комн. 25,7 м² (корп. К5, эт. 5, №5/34) — 28,42 млн;Хай Лайф (High Life);"Выборщик на сайте проекта (203 лота с ценой, фильтры, SVG-планировки); на pioneer.ru — только описания проектов без цен; сайты SHIFT/OPUS/PRIDE не проверялись";23.09.2026;5
gk-samolet;ГК Самолёт;открыто;https://samolet.ru;https://samolet.ru/flats/;да;да;Верейская 41: 1-комн. 34,31 м², корп. 2.1, 8 эт. — 19 552 031 ₽ (зачёркнутая 23 556 663 ₽);Верейская 41, Заречье Парк, Квартал на воде;"Общий выборщик samolet.ru/flats (6000+ свободных лотов по всем проектам) с фильтрами по проекту/комнатам/цене/отделке/сроку; у лота площадь, этаж, корпус, срок сдачи, отделка, планировка и поэтажный план. У всех лотов показаны две цены — текущая и зачёркнутая «старая» (разница ~17%). «У Поклонной горы» на сайте нет (по novostroev — продажи не начаты).";23.09.2026;5
gals-development;Галс-Девелопмент (СЗ Галс-Маслово);открыто;https://hals-development.ru;https://hals-development.ru/realty/object/admiral;да;;Адмирал: 2-комн. 41,5 м² (№618, корп. 1.1, 26 эт.) — 22,44 млн;Адмирал, Березки River Village;"На странице проекта список лотов с номером, корпусом, этажом, площадью и ценой, фильтры; у Березок (дома) фильтр выдал «ничего не найдено»; общий раздел — только «от» по проектам";23.09.2026;5
gruppa-akvilon;Группа Аквилон;открыто;https://msk.group-akvilon.ru;https://msk.group-akvilon.ru/project/akvilon-signal/flats/;да;;Аквилон Сигнал: студия-евро 19,6 м² (апарт., корп. 3, эт. 4, №1006) — 12,02 млн;Аквилон Сигнал;"Выборщик по проекту с номером лота, корпусом, этажом и ценой; в Сигнале в продаже апартаменты";23.09.2026;5
regions-development;Regions Development;открыто;https://dreamriva.ru;https://dreamriva.ru/flats/;да;;Дрим Рива: студия 29 м² (№383, корп. Терра, эт. 12) — 18,96 млн (со скидкой 10%);Дрим Рива (Dream Riva);"Сайт проекта с выборщиком лотов (номер, этаж, корпус, цена, фильтры); общего сайта застройщика с каталогом не найдено (regionsdevelopment.ru упомянут как кабинет брокера)";23.09.2026;4
stone;Stone;открыто;https://stone.ru;https://stone.ru/catalog/residential;да;;СТОУН Грэйн: студия 35,1 м² (лот A-007) — 22,85 млн;СТОУН Грэйн (STONE Grain);"На странице проекта карточки лотов с номером, площадью и ценой, ссылки на карточку лота; каталог с фильтрами (по спальням) закрыт robots.txt для инструмента";23.09.2026;4
tekta-group;TEKTA GROUP;открыто;https://tekta.ru;https://tekta.ru/search;да;;Эра: студия 26,9 м² (9 эт., без отделки) — 21,08 млн;Twelve (Твелв), Эра (Era), Ever (Эвер);"tekta.com редиректит на tekta.ru; общий поиск — таблица лотов с проектом, этажом, комнатностью, площадью и ценой; планировки в выдаче инструментом не подтверждены";23.09.2026;4
gk-tashir;ГК Ташир;открыто;https://tashir-estate.ru;https://stellarcity.ru/filter;да;да;"Стеллар Сити: студия 30,3 м², корп. 4, 10 эт. — 12 529 050 ₽; Легаси: 2-комн. 53,1 м², секц. 4, 2 эт. — 37 128 688 ₽";Стеллар Сити, Легаси, West Tower;"Tashir Estate: выборщики квартир на tashir-estate.ru/projects/<проект>/filter и на сайтах проектов (stellarcity.ru/filter — 305 лотов, legacydom.ru — 36) с ценой, ценой до скидки, площадью, корпусом/секцией, этажом, сроком ключей, планировкой; фильтры по комнатам/цене/площади/этажу/скидке. West Tower (сдан) — на сайте только машино-места, апартаменты не выставлены.";23.09.2026;4
rg-development;РГ-Девелопмент;открыто;https://rg-dev.ru;https://pp2.rg-dev.ru/flats;да;;Петровский парк II: 1-комн. 43,9 м² (№0979, секц. 8, эт. 2) — 25,04 млн (без скидки 27,22 млн);Петровский парк II;Выборщик на поддомене проекта: 182 лота с номером, секцией, этажом и ценой (цены с пометкой «от» на конкретный лот — полная/со скидкой);23.09.2026;4
coldy;COLDY;открыто;https://coldy.info;https://7danilovsky.ru/realty/by-params;да;;Дом 7 Даниловский: 1-комн. 31,1 м² (корп. 3, эт. 13, №3.13.2, предчистовая) — 36,86 млн;Дом 7 Даниловский;"coldy.ru редиректит на coldy.info (только описания и форма заявки); лоты с ценами — на сайте проекта 7danilovsky.ru; kozihinsky22.zhk.center не проверялся (похоже на брокерский)";23.09.2026;3
hutton-development;Hutton Development;открыто;https://hutton.ru;https://lunar.moscow/;да;нет;Lunar: 2-комн. (модуль A, кв. 2.9.4) 110,4 м² — 94,28 млн руб. со скидкой (было 107,09 млн);Lunar;"hutton.ru - только визитка без цен, реальный каталог на проектном сайте lunar.moscow (карточки лотов с ценой/площадью, фильтр по спальням/площади/цене/этажу); явных изображений планировок в статическом HTML не подтверждено";23.09.2026;3
st-michael;ST Michael;открыто;https://stmichael.ru;https://stmichael.ru/lots;да;да;Зорге 9: апартаменты-студия 16,8 м² (корп. 3, эт. 18) — 14,92 млн;Зорге 9;"Общий каталог лотов (151 объект) с ценами, планировками и фильтрами; в Зорге 9 продаются апартаменты; URL с фильтром по проекту закрыт robots.txt";23.09.2026;3
a101;А101;открыто;https://a101.ru;https://a101.ru/kvartiry/?project=dom-na-dzhalilya;да;да;Дом на Джалиля: 1-комн. евро 44,1 м² (корп. 1.1, эт. 6) — 23,25 млн;Дом на Джалиля;"Общий каталог a101.ru/kvartiry с лотами, ценами, фильтрами и схемами планировок; ~107 лотов по Дому на Джалиля";23.09.2026;3
gk-mangazeya;ГК Мангазея;открыто;https://мангазея.рф;https://xn--80aaijj0ai2m.xn--p1ai/catalog;да;да;Назаре: студия 21,4 м², корп. 6, 5 эт. — 14 299 908 ₽ (без скидки 16 627 800 ₽);Назаре, Муза, Интонация;"Сайт девелопера — мангазея.рф (mangazeya.ru — сайт холдинга без квартир). Каталог квартир по 4 проектам (Муза, Аура, Мангазея на Речном, Назаре) с ценой, базовой ценой и скидкой, площадью, корпусом, этажом, отделкой, сроком, планировкой; фильтры по проекту/комнатам/площади/цене. Интонация (сдана в 2023) в каталоге отсутствует, хотя на её странице — «Скидки до 10%». Кириллический домен — WebFetch не откроет.";23.09.2026;3
gruppa-rodina;Группа Родина;открыто;https://rodinapark.ru;https://rodinapark.ru/params?objectType=flats;да;да;"Родина Парк: студия 29,7 м², корп. 5, 26 эт. — 24 981 674 ₽; Родина Переделкино: студия 25,4 м², корп. 4 — 14 298 964 ₽ (без скидки 16 248 823 ₽)";Родина Парк, Родина Переделкино;"Отдельного корпоративного сайта с каталогом не нашёл; у проектов свои сайты с открытыми выборщиками: rodinapark.ru/params (87 квартир и пентхаусов + урбан-виллы) и rodina-peredelkino.ru/catalog (196 квартир) — цена, цена до скидки, площадь, корпус, этаж, срок, планировка; фильтры по спальням/цене/площади/корпусу/сроку. rodina-park.ru — посадочная страница без цен.";23.09.2026;3
strana-development;Страна Девелопмент;открыто;https://strana.com/msk/;https://strana.com/msk/flats/;да;да;Ридж: 1-комн. 40,03 м², ГП-1, секция 1, 2 эт. — 22 480 000 ₽ (без скидки 26 138 500 ₽);Ридж, Аурус Резиденции;"Каталог квартир strana.com/msk/flats с фильтрами (проект, комнаты, цена, акции); карточки сгруппированы по планировкам («N квартир на разных этажах»), у лотов цена, цена до скидки, площадь, корпус, секция, этаж, планировка. Московские проекты: Ридж, Аурус, Republic, Страна.Озёрная, Заречная, Парковая, WOW. Сайт по умолчанию открывает Тюмень (/tmn/), московский раздел — /msk/.";23.09.2026;3
afi-development;AFI Development;открыто;https://afitower.ru/;https://afitower.ru/#apartments;да;нет;AFI Tower: 3-комн. №1155 (52/53 эт.) 85,10 м² — 39,51 млн руб. (скидка 25%);AFI Tower;"Выборщик с фильтрами по комнатности/цене/этажу/площади/отделке/стороне света без регистрации; ""Резиденции архитекторов"" отдельно не проверялись";23.09.2026;2
dar;DAR (Дар Девелопмент);открыто;https://dar-development.ru;https://rakurs.moscow/catalog;да;да;Ракурс: студия 30,4 м², корп. 2, 4/26 эт. — 19 114 922 ₽ (без скидки 23 598 670 ₽);Ракурс, Солос;"dar-development.ru — корпоративный сайт без цен со ссылками на сайты проектов (ddoomm.moscow, rakurs.moscow, solos.moscow). На сайтах Ракурса (208 кв.) и Солоса (211 кв.) — выборщики с ценой, зачёркнутой ценой (скидка 19%), площадью, корпусом, этажом, планировкой, сроком ключей; фильтры по спальням/цене/корпусу/отделке. Данные грузятся JS (API с токеном приложения) — WebFetch видит пустую страницу. Дом на Часовой (ddoomm.moscow) не проверял.";23.09.2026;2
dominanta;Dominanta;открыто;https://d-a.ru/;https://hideout.d-a.ru/flats;да;да;hideOUT: 1-комн. 36,2 м² — 33,77 млн руб.;hideOUT;"427 лотов в каталоге, фильтры по комнатности/цене/площади/стороне света/виду из окна, у лотов есть ссылка на планировку; СВЕТ отдельно не проверялся";23.09.2026;2
element-development;Element Development;открыто;https://theelement.ru;https://flats.theelement.ru/;да;да;Новая, 11: 1-комн. 39,66 м², 4 эт., без отделки — 32 844 343 ₽;Новая, 11, Тессинский, 5, Дом Дау;"Element (СПб/Москва): общий выборщик flats.theelement.ru (фиды синхронизируются, 403 лота по 8 проектам, из Москвы — «Новая, 11» и «Тессинский, 5») с ценой, ценой за м², площадью, этажом, корпусом, отделкой, планировкой; фильтры по городу/проекту/комнатам/цене/площади. Дом Дау в выборщике нет — по novostroev это ГК «Сумма элементов» (другая компания; в базе ELEMENT смешан с ней), domdau.ru — квиз-лендинг без цен.";23.09.2026;2
ikon-development;IKON Development;открыто;https://skolkovoone.ru/;https://skolkovoone.ru/catalog/;да;нет;Skolkovo ONE: студия №148 (корп. 5) 26,7 м² — 11,91 млн руб. (скидка 10% от 13,24 млн);Skolkovo ONE;"Каталог зашит статически в HTML (29 квартир), фильтры по комнатности/корпусу/этажу/площади/цене; Chkalov отдельно не проверялся";23.09.2026;2
ingrad;Ingrad;открыто;https://www.ingrad.ru/;https://www.ingrad.ru/flats;да;да;Белый Град (МО): корп. 11.2, кв. №238, студия 21,1 м², 9 эт. — 6,02 млн (TopHILLS / КутузовGRAD — лотов нет, продажи завершены);TopHILLS, Кутузов Град (КутузовGRAD);Проверено в браузере 23.09.2026: каталог www.ingrad.ru/flats — 995 лотов с ценой, площадью, корпусом/этажом/№, фильтры по проекту/спальням/отделке/этажу/площади/стоимости, у лота планировка с размерами и план этажа. НО в каталоге только Новое Медведково и Белый Град. ВАЖНО для гида: на страницах www.ingrad.ru/projects/business/zk-tophills и /zk-kutuzovgrad написано «Продажи квартир в квартале … завершены» — у обоих проектов гида лотов на сайте нет. Вердикт «открыто» — о политике застройщика (цен;23.09.2026;2
october-group;October Group;открыто;https://storiesmoscow.ru/;https://storiesmoscow.ru/search;да;да;"Stories на Мосфильмовской: Stories Tower, кв. №220, 2-комн. 70 м², 23 эт. — 53,61 млн (44,50 млн со скидкой 17% при 100% оплате, до 30.09); Terrace House, кв. №346, студия 22,9 м² — 23,79 млн";Stories на Мосфильмовской, Кинг энд Санс (King & Sons);"Проверено в браузере 23.09.2026: storiesmoscow.ru/search — список лотов с номером, этажом, площадью, ценой и планировкой, фильтры по корпусу/комнатам/площади/цене/этажу. King & Sons: на сайте застройщика octobergroup.ru в проектах есть только ссылка на storiesmoscow.ru; kingandsons.ru в браузере не открылся (домен на парковочном IP reg.ru), отдельный сайт King & Sons не найден — вердикт по Stories.";23.09.2026;2
sense-development;Sense Development;открыто;https://sense.ru/;https://phantom.moscow/choosing/;да;да;Фантом: кв. №B21, корпус Юг, 2 эт., 1 спальня, 67,5 м², с отделкой — 135,0 млн (2,0 млн/м²);Фантом (Phantom), EDEN;"Проверено в браузере 23.09.2026: phantom.moscow/choosing/ — 51 лот с номером, корпусом, этажом, площадью и ценой (135–1269 млн), фильтры по типу/этажу/спальням/отделке/цене/площади, у лота страница с планировкой и ценой за м². EDEN (анонс): dom-eden.com — брокерский лендинг с пометкой «не является официальным сайтом застройщика», цен нет, только форма «Получить предложение»; официального сайта EDEN не нашёл.";23.09.2026;2
brusnika;Брусника;открыто;https://moskva.brusnika.ru/;https://moskva.brusnika.ru/flat/;да;да;"Квартал «МОНС»: студия 33,9 м², 5 эт. (moskva.brusnika.ru/flat/64646/) — 22,06 млн при 100% оплате (зачёркнутая 28,23 млн); Дом «А»: 1-комн. 36,6 м² — 32,43 млн";Квартал МОНС, Дом А;Проверено в браузере 23.09.2026: каталог /flat/ — 825 лотов с ценами и площадями, фильтры по проекту/комнатности/площади/стоимости, у каждого лота страница с планировкой (с размерами), планом секции и этажа. В продаже МОНС — 46 лотов (от 20,19 млн), Дом «А» — 77 лотов (от 30,85 млн). Регистрация не нужна.;23.09.2026;2
bestkon;Бэсткон;открыто;https://bestcon.ru/;https://bestcon.ru/novostroyki/vremya/kvartiry;да;да;Время: корп. 2, кв. №214, 2-комн. 56,5 м², 1 эт. — 24,2 млн (428 319 ₽/м²), дом сдан;Время, Большая Семёрка;Проверено в браузере 23.09.2026 (через WebFetch — только мета): bestcon.ru/novostroyki/vremya/kvartiry — список лотов с корпусом/подъездом/этажом/№, площадью, ценой и ценой м², фильтры, режимы «Список» и «Шахматка», планировки секций/квартир. По ЖК «Время» в продаже 3 квартиры (24,2–43,98 млн). Большая Семёрка — на сайте только акции (скидки), лоты не смотрел.;23.09.2026;2
gk-razvitie;ГК «Развитие»;открыто;https://rzv.ru/;http://rzv.ru/choice-flat/;да;нет;Резиденции Воронцова: 68,41 м², этаж 3 — 115 490 583 руб.;Резиденции Воронцова;"Полноценный выборщик с фильтром по комнатности (1-5), точные (не ""от"") цены по конкретным лотам без регистрации; Аристарховский отдельно не проверялся";23.09.2026;2
mosrealstroy;Мосреалстрой (УЭЗ);открыто;https://mosrealstroy.ru;https://dom-shelepiha.ru/apartments/;да;;Шелепиха: 1-комн. 24,3 м², башня А, 16/36 эт. — 19 119 591 ₽ (без скидки 22 232 083 ₽, скидка 14%);Шелепиха;"mosrealstroy.ru — карточки ЖК с ценой «от … ₽/м²» (Шелепиха от 476 000, Инноватор от 492 200, Интеллигент от 484 700 ₽/м²) и ссылками на сайты проектов. На сайте Шелепихи (dom-shelepiha.ru/apartments) — выборщик: 75 квартир с ценой, ценой до скидки, ценой за м², площадью, башней, этажом; фильтры по спальням, башне, этажу, цене, площади. Сайты Инноватора и Интеллигента не открывал. Планировки в списке не проверял.";23.09.2026;2
ooo-mangazeya;ООО Мангазея;открыто;https://мангазея.рф;https://xn--80aaijj0ai2m.xn--p1ai/catalog;да;да;Назаре: студия 21,4 м², корп. 6, 5 эт. — 14 299 908 ₽ (без скидки 16 627 800 ₽);Назаре, Муза, Интонация;"Сайт девелопера — мангазея.рф (mangazeya.ru — сайт холдинга без квартир). Каталог квартир по 4 проектам (Муза, Аура, Мангазея на Речном, Назаре) с ценой, базовой ценой и скидкой, площадью, корпусом, этажом, отделкой, сроком, планировкой; фильтры по проекту/комнатам/площади/цене. Интонация (сдана в 2023) в каталоге отсутствует, хотя на её странице — «Скидки до 10%». Кириллический домен — WebFetch не откроет.";23.09.2026;2
tsentr-invest;Центр-Инвест;открыто;https://ci.ru;https://ci.ru/choose;да;да;Will Towers: 3-комн. 85,4 м² — 42,60 млн руб. (566 813 руб/м², скидка 12%);Общий каталог ci.ru/choose (все проекты застройщика);"Общий выборщик квартир по всем проектам компании (107 вариантов на момент проверки), с фильтрами по цене/площади/этажу/сроку сдачи/планировкам; отдельно Костомаровский 15 и Фестиваль парк-2 не выделялись, но входят в общий каталог";23.09.2026;2
capital-alliance;Capital Alliance (СЗ Вражский);открыто;https://www.capitalgroup.ru;https://cg-projects.ru/flats;да;да;Мастерс: 2-комн. 80,8 м² (секц. 3, эт. 16) — 54,90 млн;Мастерс (Masters), Capital Towers (Кэпитал Тауэрс), Sky House (Скай Хаус);"Общий каталог cg-projects.ru/flats с ценами лотов; capitaltowers.ru/catalog/flats не открылся (too many redirects), zhk-uzory.com не резолвится; на capitalgroup.ru только описания";23.09.2026;1
dar-development;Dar Development;открыто;https://dar-development.ru;https://rakurs.moscow/catalog;да;да;Ракурс: студия 30,4 м², корп. 2, 4/26 эт. — 19 114 922 ₽ (без скидки 23 598 670 ₽);Ракурс, Солос;"dar-development.ru — корпоративный сайт без цен со ссылками на сайты проектов (ddoomm.moscow, rakurs.moscow, solos.moscow). На сайтах Ракурса (208 кв.) и Солоса (211 кв.) — выборщики с ценой, зачёркнутой ценой (скидка 19%), площадью, корпусом, этажом, планировкой, сроком ключей; фильтры по спальням/цене/корпусу/отделке. Данные грузятся JS (API с токеном приложения) — WebFetch видит пустую страницу. Дом на Часовой (ddoomm.moscow) не проверял.";23.09.2026;1
dominanta-coldy;Dominanta / COLDY;открыто;https://coldy.info;https://7danilovsky.ru/realty/by-params;да;;Дом 7 Даниловский: 1-комн. 31,1 м² (корп. 3, эт. 13, №3.13.2, предчистовая) — 36,86 млн;Дом 7 Даниловский;"coldy.ru редиректит на coldy.info (только описания и форма заявки); лоты с ценами — на сайте проекта 7danilovsky.ru; kozihinsky22.zhk.center не проверялся (похоже на брокерский)";23.09.2026;1
engeo-development;Engeo Development;открыто;https://kamerger.moscow/;https://kamerger.moscow/;да;да;Камергер: 1-спальня 69 м² (лот №231319, 1/6 этаж) — 164 430 000 ₽;Камергер;Полноценный каталог с фильтрами (спальни/цена/площадь/срок сдачи), планировками и конкретными ценами лотов, доступный без регистрации.;23.09.2026;1
level-group-mr-group;Level Group / MR Group;открыто;https://www.mr-group.ru;https://www.mr-group.ru/flats/;да;да;ФЕЙМОС: 2-комн. 62,1 м², 20/57 эт. — 48 872 700 ₽ (спеццена 41 053 068 ₽);ФЕЙМОС, МОД, СЕТ, Веер, ДЖОЙС, Сити Бэй, СИТИДЗЕН, Селигер Сити, Метрополия, МИРА, СЛАВА, С5, 26 ПАРКВЬЮ, Симфония 34, ОНЕ, Форум, Николь, Люче, Кло 17, Казачий, Климашкина 7/11;"Общий выборщик (~5200 квартир) с фильтрами по проекту/комнатам/цене/площади; у каждого лота цена, площадь, этаж, корпус, отделка, планировка. Цены открыты и у делюкс-линейки MR Private (Николь, Люче, Кло 17, Казачий, Климашкина, Форум). У бизнес/премиум-лотов показаны полная цена и «специальная цена» со скидкой до 25% (ограниченный срок). Хайд — 0 лотов; Level Павелецкая Сити и Veil на сайте MR нет.";23.09.2026;1
midland-development;Midland Development / Сбербанк Капитал;открыто;https://r1864.ru/;https://r1864.ru/search;да;да;Резиденция 1864: апартамент №606 (частная коллекция), секция 3, 6 эт., 3 спальни, 289,7 м² — 491,5 млн;Резиденция 1864 (Царев сад);"Проверено в браузере 23.09.2026 (WebFetch получал 403): r1864.ru/search — подбор по параметрам (коллекция, секция, этаж, спальни, площадь, цена), в выдаче 6 лотов с номером, площадью и ценой в млн (473,8–3415,3 млн); r1864.ru/plans — выбор на фасаде с карточкой лота (цена, PDF, планировка). В данных сайта (/hydra/json/living.json) 68 апартаментов, у 43 указана цена, у 25 (часть «частной» коллекции) цены нет. Апартаменты.";23.09.2026;1
plato-development;PLATO Development;открыто;https://kutuzov-city.ru/;https://kutuzov-city.ru/catalog;да;нет;Кутузов Сити: студия №133 (корп. Созидание) 33,3 м², эт.10/28 — 25 673 051 руб. со скидкой (28 846 125 руб. без скидки);Кутузов Сити;Каталог с фильтром по комнатности, конкретные лоты с номером/этажом/ценой без регистрации;23.09.2026;1
plus-development;Plus Development;открыто;https://plus.dev/;https://plus.dev/flats?view=cards&complex_id=86b7784d-62e3-4e50-b48e-ba3a7d4739ef;да;нет;Акценты: студия 29,6 м² — 17 522 815 руб.;Акценты;Интерактивный каталог с фильтрами по комнатности/цене/площади/отделке, конкретные лоты с ценой без регистрации;23.09.2026;1
rariteco;RARITECO;открыто;https://quartierdor.com/;https://quartierdor.com/planirovka-pod-rezidenta.html;нет;да;"Quartier d'Or: одна спальня 59,6 м², 4 эт., 2-я секция — 110,26 млн; две спальни 116,2 м², 5 эт. — 220,78 млн";Quartier d'Or (Картьер д'Ор);"Проверено в браузере 23.09.2026. Официальный сайт найден: quartierdor.com (в подвале «Застройщик: АО СЗ „Геоприбор“», почта saleqd@rariteco.com, YouTube @Rariteco). На странице «Планировки под резидента» — 5 конкретных резиденций с площадью, этажом/секцией, планировкой и ценой (110,26–367,08 млн), без регистрации; но это подборка, а не полный каталог — фильтров нет, по остальным лотам «Оставить заявку». zolotoykvartal.ru в браузере не открылся; другие домены из поиска (quartierdor.moscow, quarti";23.09.2026;1
