name;developer;class_final;class_declared;class_disputed;price_check;okrug;district;address;lat;lon;geo_precision;type;units_total;parking;stage;deadline;price_from_m2;penthouses;penthouse_flag;website;sources
Резиденции архитекторов;AFI Development;бизнес;бизнес;;;ЦАО;Басманный;Бауманская ул., 47/1;55.76920;37.68090;адрес;квартиры;;;сдан, есть остатки;сдан;441000;;;;https://mskguru.ru/novostroyki/1064-mzhk-rezidentsii-arhitektorov https://novostroev.ru/novostroyki/moskva/cao/basmannyy/rezidentsii-arkhitektorov/
HeadLiner;ГК КОРТРОС;бизнес;бизнес;;;ЦАО;Пресненский;Шмитовский пр-д, 39;55.75226;37.52663;адрес;квартиры;;;сдан, есть остатки;сдан;425000;;;;https://mskguru.ru/novostroyki/1015-zhk-tsentr-siti https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/tsentr-siti/
СОУЛ (SOUL);FORMA;премиум;бизнес-премиум;да;;САО;Аэропорт;Часовая ул., 28;55.81155;37.52312;адрес;квартиры;1284;567;строится;I кв. 2029;519000;да;да;https://soul.forma.ru/;https://mskguru.ru/novostroyki/4915-zhk-soul https://novostroev.ru/novostroyki/moskva/sao/aeroport/soul/
Амбер Сити (AMBER CITY);ГК ФСК;премиум;бизнес-премиум / премиум;да;;САО;Хорошёвский;3-й Хорошёвский пр-д;55.77330;37.53875;адрес;квартиры;3500;;строится;2028-2029;491000;;;https://fsk.ru/amber-city;https://mskguru.ru/novostroyki/5104-zhk-amber-city https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
INDY Towers;Группа Аквилон;бизнес;бизнес;;;САО;Хорошёвский;ул. Куусинена, вл. 21;55.78982;37.50960;адрес;квартиры;959;487;строится;2026-2029;470000;;;;https://mskguru.ru/novostroyki/4959-zhk-indy-towers https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
Сезар Сити (SEZAR CITY);Sezar Group;бизнес;бизнес;;;САО;Хорошёвский;2-й Хорошёвский пр-д, 7;55.77234;37.53169;адрес;квартиры;605;696;строится;2027;510000;;;https://sezar-group.ru/projects/sezarcity;https://mskguru.ru/novostroyki/5095-zhk-sezar-city https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
Селигер Сити;MR Group;бизнес;бизнес;;;САО;Западное Дегунино;Ильменский пр-д, вл. 14;55.86066;37.54529;адрес;квартиры;4666;2278;строится;2026;497000;да;да;;https://mskguru.ru/novostroyki/1069-zhk-seliger-siti https://mskguru.ru/rayon/sao
Мангазея на Речном;ГК Мангазея;бизнес;бизнес;;;САО;Левобережный;Ленинградское ш., 57;55.85506;37.46422;адрес;квартиры;;2500;строится;III кв. 2027;503000;;;;https://mskguru.ru/novostroyki/5067-zhk-mangazeya-na-rechnom https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/mangazeya-na-rechnom/
Северный порт. Береговые кварталы;LEGENDA Intelligent Development;бизнес;бизнес;;;САО;Левобережный;Ленинградское ш., 57-63;55.86559;37.46222;адрес;квартиры;2124;;строится;IV кв. 2030;462000;;;;https://mskguru.ru/novostroyki/4668-zhk-severnyyjj-rechnojj-port https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/severnyy-port-beregovye-kvartaly/
Инджой (INJOY);Талан;бизнес;бизнес;;;САО;Войковский;ул. Адмирала Макарова;55.83014;37.49399;адрес;квартиры;1506;673;строится;2027;486000;24;да;;https://mskguru.ru/novostroyki/5002-zhk-injoy https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ approx-coords
Level Войковская;Level Group;бизнес;бизнес;;;САО;Войковский;Старопетровский пр-д, 11;55.82413;37.50454;адрес;квартиры;539;261;строится;III кв. 2028;463000;;;;https://mskguru.ru/novostroyki/5195-zhk-level-vojjkovskaya https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
Дом на Часовой (DD:OO:MM);DAR;бизнес;бизнес;;;САО;Аэропорт;Часовая ул.;55.80700;37.53597;адрес;квартиры;255;170;строится;II кв. 2028;599000;да;да;;https://mskguru.ru/novostroyki/5218-zhk-ddoomm-dom-na-chasovojj https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ approx-coords
СВЕТ;Dominanta;бизнес;бизнес;;;САО;Западное Дегунино;Дмитровское ш., 82;55.86506;37.54940;адрес;квартиры;662;;строится;I кв. 2028;526000;;;;https://mskguru.ru/novostroyki/5191-zhk-svet https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ approx-coords
Акценты;Plus Development;бизнес;бизнес;;;САО;Восточное Дегунино;Дубнинская ул., 79;55.88859;37.55647;адрес;квартиры;673;494;строится;2027;403000;;;;https://mskguru.ru/novostroyki/5190-zhk-akcentyy https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
Дмитровское небо;Группа ЛСР;бизнес;бизнес;;;САО;Западное Дегунино;Ильменский пр-д;55.85815;37.54707;адрес;квартиры;2401;549;строится;II кв. 2027;412000;;;;https://mskguru.ru/novostroyki/4893-zhk-dmitrovskoe-nebo https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
Кронштадтский 9;ПИК;бизнес;бизнес;;;САО;Головинский;Кронштадтский б-р, 9;55.84270;37.48794;адрес;квартиры;;700;строится;2027-2028;415000;;;;https://mskguru.ru/novostroyki/4587-zhk-kronshtadskijj-9 https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/
Нарвин;ПИК;бизнес;бизнес;;;САО;Головинский;ул. Кронштадтская, 16-18;55.84041;37.48892;адрес;квартиры;1174;207;строится;2028;402000;;;;https://mskguru.ru/novostroyki/5140-zhk-narvin https://mskguru.ru/rayon/sao
Бусиновский парк;ПИК;бизнес;бизнес;;;САО;Западное Дегунино;ул. Ижорская, 6с5;55.89457;37.51947;адрес;квартиры;;;строится;2026-2027;343000;;;;https://mskguru.ru/novostroyki/4576-zhk-businovskijj-park https://mskguru.ru/rayon/sao
DIUS (Диус);ГК Север;бизнес;бизнес;;;САО;Аэропорт;ул. Академика Ильюшина, 21;55.80702;37.54800;адрес;апартаменты;451;667;строится;IV кв. 2027;447000;;;;https://novostroev.ru/novostroyki/moskva/sao/aeroport/na-ul-akademika-ilyushina-21/ https://mskguru.ru/rayon/sao
Фестиваль парк-2;Центр-Инвест;бизнес;бизнес;;;САО;Левобережный;Фестивальная ул., 15;55.85952;37.47490;адрес;квартиры;1595;1050;сдан, есть остатки;сдан;380000;;;;https://mskguru.ru/novostroyki/4611-zhk-festivaly-park2 https://ama.ru/msk/moskva/sao/biznes
Ленинградка 58;Группа ЛСР;бизнес;бизнес;;;САО;Головинский;Ленинградское ш., 58;55.84239;37.48059;адрес;квартиры;;;сдан, есть остатки;сдан;386000;;;;https://mskguru.ru/rayon/sao https://ama.ru/msk/moskva/sao/biznes
Дом на Зорге;А101;бизнес;бизнес;;;САО;Сокол;ул. Зорге;55.78255;37.51126;адрес;квартиры;;;сдан, есть остатки;2026;472000;;;;https://mskguru.ru/rayon/sao https://ama.ru/msk/moskva/sao/biznes
L67;FORMA;бизнес;бизнес;;;САО;Левобережный;Ленинградское ш. (Левобережный);55.85850;37.46790;адрес;квартиры;;;анонс;;;;;;https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/l67/
ВЭРИ (Very) на Ботанической;ГК Основа;бизнес;бизнес;;;СВАО;Марфино;Ботаническая ул., 29;55.83422;37.59314;адрес;квартиры;;;строится;IV кв. 2027;447000;;;;https://mskguru.ru/novostroyki/4544-zhk-botanicheskaya-29 https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/ approx-coords
Мираполис;ГК Основа;бизнес;бизнес;;;СВАО;Ярославский;просп. Мира, 222;55.84067;37.66814;адрес;апартаменты;1941;608;строится;IV кв. 2027;328000;;;;https://mskguru.ru/novostroyki/4671-zhk-mira-222 https://novostroev.ru/novostroyki/moskva/svao/yaroslavskiy/mirapolis/
Квартал МОНС;Брусника;бизнес;бизнес;;;СВАО;Бутырский;Огородный пр-д, 20;55.81794;37.59449;адрес;квартиры;730;875;строится;III кв. 2027;356000;;;;https://mskguru.ru/novostroyki/5081-zhk-mons https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/mons-ogorodnyy-proekt/
Полар;ПИК;бизнес;бизнес;;;СВАО;Северное Медведково;Полярная ул., 39А;55.89340;37.64468;адрес;квартиры;2702;639;строится;II кв. 2027;361000;;;;https://mskguru.ru/novostroyki/4988-zhk-polar https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/
Руставели, 14;ПИК;бизнес;бизнес;;;СВАО;Бутырский;ул. Руставели, 14;55.81211;37.59786;адрес;квартиры;;;строится;I кв. 2029;461000;;;;https://mskguru.ru/novostroyki/4516-zhk-rustaveli-14 https://ama.ru/msk/moskva/svao/biznes
Алтуфьевское 53;ПИК;бизнес;бизнес;;;СВАО;Алтуфьевский;Алтуфьевское ш., 53;55.87126;37.58278;адрес;квартиры;;;строится;IV кв. 2028;367000;;;;https://mskguru.ru/novostroyki/5071-zhk-altufevskoe-53 https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/
Апсайд Тауэрс (Upside Towers);UPSIDE DEVELOPMENT;бизнес;бизнес;;;СВАО;Бутырский;Огородный пр-д, 2;55.81189;37.60162;адрес;квартиры;731;;строится;II кв. 2027;501000;;;;https://mskguru.ru/novostroyki/4849-zhk-ogorodnyyjj-proezd-2 https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/upside-towers-apsayd-tauers/
ТАТЕ (Tate);ГК КОРТРОС;бизнес;бизнес;;;СВАО;Марьина Роща;ул. Веткина, 2с1;55.80457;37.62083;адрес;квартиры;1104;567;строится;II кв. 2027;576000;да;да;;https://mskguru.ru/novostroyki/5086-zhk-tate https://novostroev.ru/novostroyki/moskva/svao/marina-roshcha/tate-teyt/
Mariinn Park;Группа Эталон;бизнес;бизнес;;;СВАО;Марьина Роща;Октябрьская ул., 103;55.79888;37.61224;адрес;квартиры;135;64;строится;IV кв. 2027;;;;;https://novostroev.ru/novostroyki/moskva/svao/marina-roshcha/oktyabrskaya/ https://ama.ru/msk/moskva/svao/biznes
ОМ Ботанический;ОМ Девелопмент;бизнес;бизнес;;;СВАО;Свиблово;ул. Сельскохозяйственная, 42;55.84980;37.62716;адрес;квартиры;428;194;анонс;IV кв. 2029;;;;;https://novostroev.ru/novostroyki/moskva/svao/sviblovo/om-botanicheskiy/ https://novostroev.ru/novostroyki/moskva/svao/biznes-class/
AFI Tower;AFI Development;бизнес;бизнес;;;СВАО;Свиблово;пр-д Серебрякова, 11к1;55.84861;37.65145;адрес;квартиры;1169;864;сдан, есть остатки;сдан;;;;;https://novostroev.ru/novostroyki/moskva/svao/sviblovo/afi-tower/ https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/
Дом Малевич;Крост Недвижимость;бизнес;бизнес;;;СВАО;Отрадное;Отрадная ул., 8А;55.85720;37.60840;адрес;квартиры;590;110;сдан, есть остатки;сдан;370000;;;;https://mskguru.ru/novostroyki/4883-zhk-malevich https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/
MOD;MR Group;премиум;бизнес / премиум;да;;СВАО;Марьина Роща;4-я ул. Марьиной Рощи, 12;55.79683;37.62435;адрес;квартиры;2104;739;сдан, есть остатки;сдан;587000;да;да;;https://mskguru.ru/novostroyki/4542-zhk-mod https://novostroev.ru/novostroyki/moskva/svao/biznes-class/
iLove;ГК КОРТРОС;бизнес;бизнес;;;СВАО;Останкинский;ул. Бочкова, 11А;55.81028;37.62937;адрес;квартиры;2370;1305;сдан, есть остатки;сдан;422000;;;;https://mskguru.ru/novostroyki/1236-zhk-ilove-ajlav https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/
Лайм;ЭЗКС;бизнес;бизнес;;;СВАО;Алексеевский;Староалексеевская ул., 5А;55.81049;37.64503;адрес;квартиры;826;332;сдан, есть остатки;сдан;;;;;https://novostroev.ru/novostroyki/moskva/svao/alekseevskiy/laym-staroalekseevskaya/ https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/
Октябрьская 98 (Mirror);ГК Самолёт;бизнес;бизнес;;;СВАО;Марьина Роща;Октябрьская ул., вл. 98;55.79960;37.61403;адрес;апартаменты;645;121;сдан, есть остатки;сдан;413000;;;;https://mskguru.ru/novostroyki/4888-apartamentyy-mirrorzdanie https://ama.ru/msk/moskva/svao/biznes
ФизтехСити;ГК Основа;бизнес;бизнес;;;СВАО;Северный;Долгопрудненское ш., 3А;55.92114;37.53494;адрес;апартаменты;;;сдан, есть остатки;сдан;;;;;https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/ https://ama.ru/msk/moskva/svao/biznes
Касаткина, 11;FORMA;бизнес;бизнес;;;СВАО;Алексеевский;ул. Касаткина, 11;55.82447;37.66157;адрес;квартиры;;;анонс;;;;;;https://novostroev.ru/novostroyki/moskva/svao/alekseevskiy/kasatkina-11/
Событие;Донстрой;премиум;бизнес и премиум;да;;ЗАО;Раменки;ул. Лобачевского, 114;55.69089;37.47823;адрес;квартиры;3987;2512;строится;4 кв. 2029;519300;да;да;https://donstroy.moscow/objects/sobytie/;novostroev.ru/novostroyki/moskva/zao/ramenki/sobytie/, mskguru.ru/novostroyki/1284-zhk-sobytie, donstroy.moscow, coords approx
Инноватор;Мосреалстрой;бизнес;бизнес;;;ЗАО;Раменки;Мичуринский пр-т, 45;55.68779;37.48280;адрес;квартиры;587;236;сдан, есть остатки;1 кв. 2026;477800;;;;novostroev.ru/novostroyki/moskva/zao/ramenki/innovator/, coords approx
Stories на Мосфильмовской;October Group;бизнес;бизнес;;;ЗАО;Раменки;ул. Лобачевского, 124/3А;55.68746;37.47570;адрес;квартиры;440;115;строится;1 кв. 2026;520400;;;;novostroev.ru/novostroyki/moskva/zao/ramenki/stories-na-mosfilmovskoy/, mskguru.ru/novostroyki/4910, координаты не уточнены
Level Мичуринский;Level Group;бизнес;бизнес;;;ЗАО;Очаково-Матвеевское;ул. Лобачевского / ул. Озёрная;55.67800;37.46500;квартал (каталог);квартиры;3500;2000;строится;3 кв. 2027;405600;да;да;;novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/level-michurinskiy/, mskguru.ru/novostroyki/1349, coords approx
Среда на Лобачевского;Среда;бизнес;бизнес;;;ЗАО;Очаково-Матвеевское;Очаковское шоссе, 5;55.69561;37.46035;адрес;квартиры;525;221;старт продаж;2 кв. 2027;511200;;;;novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/sreda-na-lobachevskogo/, coords approx
Страна.Озерная;Страна Девелопмент;бизнес;бизнес;;;ЗАО;Очаково-Матвеевское;ул. Озёрная, 42-44;55.67163;37.44601;адрес;квартиры;1241;367;сдан, есть остатки;сдан;541600;;;;novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/strana-ozernaya/, coords approx
Матвеевский парк;ПИК;бизнес;комфорт (novostroev), в ряде каталогов комфорт+/бизнес;да;;ЗАО;Очаково-Матвеевское;Очаковское шоссе, вл. 3, 5А;55.68070;37.44047;адрес;квартиры;3452;;строится;2 кв. 2028;413900;;;;novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/matveevskiy-park/, класс спорный, coords approx
Барклая 6;ПИК;бизнес;бизнес;;;ЗАО;Филёвский парк;ул. Барклая, 6;55.73917;37.50822;адрес;квартиры;;;строится;4 кв. 2025;417100;;;;novostroev.ru/novostroyki/moskva/zao/filyevskiy-park/na-ulitse-barklaya/, mskguru.ru/novostroyki/4736, coords approx
Гранд Фили;Granard;бизнес;бизнес;;;ЗАО;Филёвский парк;ул. Большая Филёвская, 2;55.73902;37.46197;адрес (OSM, уточнено 21.09);квартиры;;152;строится;2 кв. 2029;707500;;;;novostroev.ru/novostroyki/moskva/zao/filyevskiy-park/grand-fili/, coords approx
Береговой 2;Главстрой;премиум;премиум (novostroev), проект линейки Береговой заявлялся как бизнес / премиум;да;;ЗАО;Филёвский парк;Береговой проезд, вл. 2;55.75991;37.50315;адрес;квартиры;1983;558;строится;2 кв. 2028;533600;;;;novostroev.ru/novostroyki/moskva/zao/filyevskiy-park/beregovoy-2/, класс спорный, coords approx
Famous;MR Group;премиум;премиум (novostroev), бизнес+ в каталогах;да;;ЗАО;Филёвский парк;Багратионовский проезд, вл. 5;55.74397;37.50799;адрес;квартиры;81;;сдан, есть остатки;3 кв. 2025;747000;;;;novostroev.ru/novostroyki/moskva/zao/filyevskiy-park/famous-feymos/, класс спорный, coords approx
Кутузовский квартал;ПИК+;бизнес;бизнес;;;ЗАО;Кунцево;ул. Ивана Франко;55.72796;37.44956;адрес;квартиры;;71;старт продаж;2 кв. 2026;441400;;;;novostroev.ru/novostroyki/moskva/zao/kuntsevo/kutuzovskiy-kvartal/, coords approx
Индиво;Forma (ПИК);бизнес;бизнес;;;ЗАО;Кунцево;ул. Ивана Франко;55.72824;37.43506;адрес;квартиры;831;347;старт продаж;4 кв. 2027;537100;;;;novostroev.ru/novostroyki/moskva/zao/kuntsevo/indivo/, coords approx
NEXUS by Akvilon;Группа Аквилон;бизнес;бизнес;;;ЗАО;Кунцево;ул. Ярцевская, 21/1;55.74355;37.42015;адрес;квартиры;639;216;старт продаж;3 кв. 2029;474500;;;;novostroev.ru/novostroyki/moskva/zao/kuntsevo/nexus-by-akvilon/, coords approx
SET;MR Group;бизнес;бизнес;;;ЗАО;Можайский;ул. Верейская, 29/32Б;55.70870;37.44390;адрес;квартиры;2579;495;строится;3 кв. 2028;467900;;;;novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/set/, coords approx
Veer;MR Group;бизнес;бизнес;;;ЗАО;Можайский;ул. Верейская, 29;55.70870;37.44390;адрес;квартиры;3720;685;старт продаж;3 кв. 2028 (1 оч.), 3 кв. 2029 (2 оч.);429600;;;;novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/veer/, coords approx
Верейская 41;ГК Самолёт;бизнес;бизнес;;;ЗАО;Можайский;ул. Верейская, 41;55.71120;37.43298;адрес;квартиры+апартаменты;;;строится;3 кв. 2025;347100;;;;novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/vereyskaya-41/, coords approx
Стеллар Сити;ГК Ташир;бизнес;комфорт/бизнес / бизнес;да;;ЗАО;Можайский;Москва, Сколковское шоссе, 40к3;55.70023;37.39471;адрес;квартиры;;;строится;4 кв. 2026;305000;;;https://stellarcity.ru/;novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/stellar-siti/, класс спорный
СИТИМИКС;Apsis Globe;бизнес;комфорт/бизнес;да;;ЗАО;Тропарёво-Никулино;;55.65800;37.47700;район (ориентир);апартаменты;;;строится;3 кв. 2026;484100;;;;novostroev.ru/novostroyki/moskva/zao/troparyevo-nikulino/, класс спорный
Кутузов Сити;PLATO Development;элитный;элит (novostroev), в каталогах премиум/бизнес+ / премиум;да;цена не бьётся с классом;ЗАО;Можайский;ул. Гродненская, 18;55.71913;37.43474;адрес;квартиры;220;73;строится;3 кв. 2027;639500;да;да;;novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/kutuzov-siti/, класс спорный, coords approx
Молодогвардейская 54 (М54);Главстрой Москва;бизнес;не заявлен;;;ЗАО;Кунцево;ул. Молодогвардейская, 54;55.73660;37.39909;адрес;квартиры;;;анонс;;;;;;novostroev.ru/novostroyki/moskva/zao/kuntsevo/, продажи не начаты, coords approx
Феномен города;BMS Development;премиум;эко-прайм (заявлено девелопером) / премиум;да;;ЗАО;Фили-Давыдково;Староволынская ул.;55.71557;37.47919;адрес;квартиры;;;анонс;2031;;;;;novostroev.ru/novostroyki/moskva/zao/fili-davydkovo/
На Кутузовском проспекте, 36;Главстрой Москва;бизнес;не заявлен;;;ЗАО;Дорогомилово;Кутузовский пр-т, 36;55.74092;37.52443;адрес;квартиры;;;анонс;;;;;;novostroev.ru/novostroyki/moskva/zao/dorogomilovo/, coords approx
У Поклонной горы;ГК Самолёт;бизнес;не заявлен;;;ЗАО;Дорогомилово;;55.73987;37.53653;адрес;квартиры;;;анонс;;;;;;novostroev.ru/novostroyki/moskva/zao/dorogomilovo/
Поклонная 7;Спецстрой-1;премиум;бизнес (апартаменты) / премиум;да;;ЗАО;Дорогомилово;ул. Поклонная, 7;55.73515;37.52719;адрес;апартаменты;;;строится;2 кв. 2026;465300;;;;novostroev.ru/novostroyki/moskva/zao/dorogomilovo/, coords approx
Остров;Донстрой;премиум;бизнес / бизнес и премиум;да;;СЗАО;Хорошёво-Мнёвники;ул. Нижние Мнёвники, уч. 37Б;55.75327;37.45489;адрес;квартиры;12000;556;строится;2 кв. 2029;581000;да;да;https://donstroy.moscow/objects/ostrov/;mskguru.ru/novostroyki/4633-zhk-ostrov, novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/ostrov/, coords approx
Сидней Сити (Sydney City);ГК ФСК;премиум;бизнес (mskguru), премиум (novostroev) / премиум;да;;СЗАО;Хорошёво-Мнёвники;ул. Шеногина, 2;55.76473;37.50994;адрес;квартиры;6500;;строится;3 кв. 2027;461000;да;да;;mskguru.ru/novostroyki/1373-zhk-viewpolis, novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/sydney-city-sidney-siti/, coords approx
Sydney Prime;ГК ФСК;премиум;премиум;;;СЗАО;Хорошёво-Мнёвники;ул. Шеногина, 2;55.76410;37.50511;адрес;квартиры;127;259;строится;3 кв. 2027;1000000;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/sydney-prime/, coords approx
MYPRIORITY Мнёвники;ГК Гранель;бизнес;бизнес;;;СЗАО;Хорошёво-Мнёвники;ул. Народного Ополчения, 34;55.77800;37.47600;квартал (каталог);квартиры;1899;675;строится;4 кв. 2028 (к.1), 4 кв. 2029 (к.2);479200;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/mypriority-mnevniki/, coords approx
Эмоушен;ГК Основа;бизнес;бизнес;;;СЗАО;Хорошёво-Мнёвники;2-й Силикатный проезд, 8;55.76858;37.50687;адрес;апартаменты;551;380;строится;2 кв. 2027;395000;да;да;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/emotion/, coords approx
Квартал Серебряный Бор;St Michael;бизнес;бизнес;;;СЗАО;Хорошёво-Мнёвники;ул. Берзарина, 37;55.78907;37.47195;адрес;квартиры;504;110;старт продаж;2 кв. 2027;595100;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/kvartal-serebryanyy-bor/, coords approx
Crystal Трилогия;Концерн КРОСТ;бизнес;бизнес;;;СЗАО;Хорошёво-Мнёвники;ул. Генерала Глаголева, 16с1;55.78240;37.46533;адрес;квартиры;978;;строится;3 кв. 2025;441300;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/crystal-kristall/, coords approx
Вереск;ГК Самолёт;бизнес;бизнес;;;СЗАО;Хорошёво-Мнёвники;3-я Хорошевская, 19к3с2;55.78475;37.49814;адрес;апартаменты;;;сдан, есть остатки;сдан;352400;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/v-khoroshyevo-mnyevnikakh/, coords approx
JOIS;MR Group;премиум;премиум (novostroev), позиционируется в верхнем бизнесе / премиум;да;;СЗАО;Хорошёво-Мнёвники;3-й Силикатный проезд, 10;55.77170;37.50588;адрес;квартиры;1306;235;строится;4 кв. 2027;492200;да;да;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/jois-dzhoys/, класс спорный, coords approx
Сезар Силика;Sezar Group;премиум;бизнес (novostroev, фильтр), премиум (карточка);да;;СЗАО;Хорошёво-Мнёвники;3-й Силикатный проезд, 3;55.76952;37.49831;адрес;квартиры;666;;старт продаж;1 кв. 2030;452700;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/sezar-silica/, класс спорный, coords approx
Высотка на Жукова (Демьяна Бедного, 24);Концерн КРОСТ;премиум;премиум / премиум;да;;СЗАО;Хорошёво-Мнёвники;ул. Демьяна Бедного, 24;55.78025;37.48802;адрес;квартиры+апартаменты;346;167;строится;3 кв. 2029;734000;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/demyana-bednogo-24/, coords approx
