slug;check;answer;value;source;checked
admiral;05;нет;0.41 м/м на квартиру (1955 на 4715);каталоги и декларации (база 14.09);23.09.2026
admiral;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 2 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gals-development-429942001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
admiral;07;да;ввод: III кв. 2028 ⟶ III кв. 2028 (без переноса) · готовность по графику декларации 40% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/63966;23.09.2026
admiral;08;да;квартиры · эскроу есть · разрешение на строительство действует до 20.07.2028 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/63966;23.09.2026
admiral;09;да;от 505 000 ₽/м²;каталоги (база 14.09);23.09.2026
afi-tower;01;да;СВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
afi-tower;02;да;плюсы: парк 109 м (Капустинский сквер), вода 218 м (Капустинский пруд);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
afi-tower;03;да;"Свиблово (метро) — 14 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
afi-tower;04;нет;1169 квартир;каталоги и декларации (база 14.09);23.09.2026
afi-tower;05;нет;0.74 м/м на квартиру (864 на 1169);каталоги и декларации (база 14.09);23.09.2026
afi-tower;06;да;ЕРЗ 4,5 · сдано 8 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/afi-development-1189186001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
afi-tower;07;да;сдан: ввод 27.08.2024;https://наш.дом.рф/сервисы/каталог-новостроек/объект/25870;23.09.2026
afi-tower;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/25870;23.09.2026
afi-tower;09;да;от 420 400 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
ahead;01;нет;за Третьим кольцом;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
ahead;02;да;плюсы: парк 312 м, вода 392 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
ahead;03;нет;"Мнёвники (метро) — 18 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
ahead;04;да;62 квартир;каталоги и декларации (база 14.09);23.09.2026
ahead;05;да;1.76 м/м на квартиру (109 на 62);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
ahead;06;нет;ЕРЗ 1 · сдано 3 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/specializirovannyj-zastrojshhik-vks-invest-21408629001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
ahead;07;нет данных;строится: карточка проверки ЕИСЖС недоступна (блокировка сайта при выгрузке) · ввод по каталогу 31.12.2026;https://наш.дом.рф/сервисы/каталог-новостроек/объект/45298;23.09.2026
ahead;08;да;квартиры · эскроу есть (каталог наш.дом.рф) · разрешение на строительство и документы на участок не проверены: карточка проверки ЕИСЖС не получена (сайт заблокировал выгрузку);https://наш.дом.рф/сервисы/каталог-новостроек/объект/45298;23.09.2026
ahead;09;да;от 721 296 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
aktsenty;01;да;САО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
aktsenty;02;да;плюсы: парк 429 м (Парк «Северные Дубки»);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
aktsenty;03;нет;"Бескудниково (МЦК/МЦД/ж/д) — 20 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
aktsenty;04;да;673 квартир;каталоги и декларации (база 14.09);23.09.2026
aktsenty;05;нет;0.73 м/м на квартиру (494 на 673);каталоги и декларации (база 14.09);23.09.2026
aktsenty;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 0 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/Gruppa-kompanij-PLYUS-Development-24345040001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
aktsenty;07;да;ввод: IV кв. 2027 ⟶ IV кв. 2027 (без переноса) · готовность по графику декларации 40% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/66746;23.09.2026
aktsenty;08;да;квартиры · эскроу есть · разрешение на строительство действует до 11.07.2030 · участок: собственность;https://наш.дом.рф/сервисы/каталог-новостроек/объект/66746;23.09.2026
aktsenty;09;да;от 425 200 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
akvilon-beside-2-0;01;да;ЮВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
akvilon-beside-2-0;02;да;ТЭЦ, промзон и крупных магистралей в 150 м нет;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
akvilon-beside-2-0;03;да;"Рязанский проспект (метро) — 11 мин; школа с отметкой NOTA — Школа на Юго-Востоке им. В.И. Чуйкова, 1866 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
akvilon-beside-2-0;04;нет;1106 квартир;каталоги и декларации (база 14.09);23.09.2026
akvilon-beside-2-0;05;нет;0.20 м/м на квартиру (216 на 1106);каталоги и декларации (база 14.09);23.09.2026
akvilon-beside-2-0;06;да;ЕРЗ 5 · сдано 5 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-akvilon-391375001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
akvilon-beside-2-0;07;нет данных;строится: карточка проверки ЕИСЖС недоступна (блокировка сайта при выгрузке) · ввод по каталогу 30.06.2027;https://наш.дом.рф/сервисы/каталог-новостроек/объект/58187;23.09.2026
akvilon-beside-2-0;08;да;квартиры · эскроу есть (каталог наш.дом.рф) · разрешение на строительство и документы на участок не проверены: карточка проверки ЕИСЖС не получена (сайт заблокировал выгрузку);https://наш.дом.рф/сервисы/каталог-новостроек/объект/58187;23.09.2026
akvilon-beside-2-0;09;да;от 463 000 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
akvilon-signal;01;да;СВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
akvilon-signal;02;нет;"промзона 78 м (КПСО «Сигнальный»); магистраль 67 м (Северо-Восточная хорда)";"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
akvilon-signal;03;да;"Владыкино (метро) — 9 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
akvilon-signal;04;да;357 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
akvilon-signal;05;нет данных;;;23.09.2026
akvilon-signal;06;да;ЕРЗ 5 · сдано 5 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-akvilon-391375001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
akvilon-signal;07;да;ввод: IV кв. 2026 ⟶ IV кв. 2026 (без переноса) · готовность по графику декларации 60% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/56842;23.09.2026
akvilon-signal;08;нет;апартаменты · другой налог, нет постоянной регистрации · эскроу есть (Сбербанк) · разрешение на строительство действует до 27.12.2026 · участок: собственность;https://наш.дом.рф/сервисы/каталог-новостроек/объект/56842;23.09.2026
akvilon-signal;09;да;от 367 033 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
alia;01;нет;за Третьим кольцом;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
alia;02;да;плюсы: парк 385 м, вода 160 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
alia;03;нет;"Тушинская (метро) — 24 мин; школа с отметкой NOTA — Курчатовская школа, 2183 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
alia;04;нет данных;;каталоги и декларации (база 14.09);23.09.2026
alia;05;нет данных;;;23.09.2026
alia;06;нет;ЕРЗ 1 · сдано 2 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/specializirovannyj-zastrojshhik-rezidens-25306723001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
alia;07;да;ввод: II кв. 2028 ⟶ II кв. 2028 (без переноса) · готовность по графику декларации 20% · строится 1 из 2 корпусов, 1 сдано;https://наш.дом.рф/сервисы/каталог-новостроек/объект/61294 (+ ещё 1 объект: 51218);23.09.2026
alia;08;да;квартиры · эскроу есть (Сбербанк) · разрешение на строительство действует до 02.02.2028 · участок: субаренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/61294 (+ ещё 1 объект: 51218);23.09.2026
alia;09;да;от 501 700 ₽/м²;каталоги (база 14.09);23.09.2026
altufevskoe-53;01;да;СВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
altufevskoe-53;02;нет;промзона 65 м (НИКИМТ-Атомстрой);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
altufevskoe-53;03;нет;"Дегунино (МЦК/МЦД/ж/д) — 22 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
altufevskoe-53;04;нет данных;;каталоги и декларации (база 14.09);23.09.2026
altufevskoe-53;05;нет данных;;;23.09.2026
altufevskoe-53;06;да;ЕРЗ 5 · сдано 184 дома за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 15: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/pik-429726001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
altufevskoe-53;07;да;ввод: IV кв. 2028 ⟶ IV кв. 2028 (без переноса) · готовность по графику декларации 20% · строится 1 из 3 корпусов, 2 сдано;https://наш.дом.рф/сервисы/каталог-новостроек/объект/64596 (+ ещё 2 объекта: 47825, 47824);23.09.2026
altufevskoe-53;08;да;квартиры · эскроу есть · разрешение на строительство действует до 06.10.2028 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/64596 (+ ещё 2 объекта: 47825, 47824);23.09.2026
altufevskoe-53;09;да;от 253 400 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
amber-siti;01;да;САО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
amber-siti;02;нет;промзона 51 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
amber-siti;03;да;"Беговая (МЦК/МЦД/ж/д) — 5 мин; школа с отметкой NOTA — Школа № 1409, 2155 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
amber-siti;04;нет;3500 квартир;каталоги и декларации (база 14.09);23.09.2026
amber-siti;05;нет;0.22 м/м на квартиру (775 на 3500);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
amber-siti;06;да;ЕРЗ 4 · сдано 47 домов за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 2: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-fsk-755344001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
amber-siti;07;да;ввод: III кв. 2029 ⟶ III кв. 2029 (без переноса) · готовность по графику декларации 0% · строится 6 из 6 корпусов (показан корпус с наибольшим сдвигом);https://наш.дом.рф/сервисы/каталог-новостроек/объект/72362 (+ ещё 5 объектов: 70119, 70118, 70117, 61843, 61842);23.09.2026
amber-siti;08;да;квартиры · эскроу есть (Сбербанк) · разрешение на строительство действует до 29.08.2029 · участок: аренда, аренда и собственность · не опубликовано: проект ДДУ;https://наш.дом.рф/сервисы/каталог-новостроек/объект/72362 (+ ещё 5 объектов: 70119, 70118, 70117, 61843, 61842);23.09.2026
amber-siti;09;да;от 464 800 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
annabel-s;01;да;ЦАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
annabel-s;02;да;плюсы: парк 350 м (Парк Горького), вода 101 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
annabel-s;03;да;"Кропоткинская (метро) — 10 мин; школа с отметкой NOTA — Пятьдесят седьмая школа, 1273 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
annabel-s;04;да;9 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
annabel-s;05;нет данных;;;23.09.2026
annabel-s;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 1 дом за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/palladio-grouppalladio-grupp-9402583001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
annabel-s;07;да;сдан: ввод 15.07.2026;https://наш.дом.рф/сервисы/каталог-новостроек/объект/48353;23.09.2026
annabel-s;08;не применяется;дом сдан — покупка по ДКП, эскроу не нужен;https://наш.дом.рф/сервисы/каталог-новостроек/объект/48353;23.09.2026
annabel-s;09;нет данных;;;23.09.2026
apsayd-tauers;01;да;СВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
apsayd-tauers;02;да;плюсы: парк 481 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
apsayd-tauers;03;да;"Бутырская (метро) — 7 мин; школа с отметкой NOTA — Школа № 218, 2151 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
apsayd-tauers;04;да;731 квартир;каталоги и декларации (база 14.09);23.09.2026
apsayd-tauers;05;нет данных;;;23.09.2026
apsayd-tauers;06;да;ЕРЗ 5 · сдано 3 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/upside-development-2893990001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
apsayd-tauers;07;да;ввод: первая версия декларации не раскрыта ⟶ II кв. 2029 · готовность по графику декларации 0% · строится 3 из 4 корпусов, 1 сдано (показан корпус с наибольшим сдвигом);https://наш.дом.рф/сервисы/каталог-новостроек/объект/72964 (+ ещё 3 объекта: 56270, 56269, 50049);23.09.2026
apsayd-tauers;08;да;квартиры · эскроу есть · разрешение на строительство действует до 07.12.2029 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/72964 (+ ещё 3 объекта: 56270, 56269, 50049);23.09.2026
apsayd-tauers;09;да;от 513 123 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
aristarkhovskiy;01;да;ЦАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
aristarkhovskiy;02;нет данных;;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
aristarkhovskiy;03;да;"Марксистская (метро) — 13 мин; школа с отметкой NOTA — Школа Центра педагогического мастерства (ЦПМ), 1251 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
aristarkhovskiy;04;да;55 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
aristarkhovskiy;05;нет;1.38 м/м на квартиру (76 на 55);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
aristarkhovskiy;06;да;ЕРЗ 5 · сдано 0 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/gruppa-kompanij-razvitie-461175001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
aristarkhovskiy;07;нет данных;строится: в каталоге наш.дом.рф объект не найден — сроки по декларации не проверить;каталог новостроек наш.дом.рф (Москва и МО, выгрузка 23.09.2026): объект не найден;23.09.2026
aristarkhovskiy;08;нет данных;строится: в каталоге наш.дом.рф объект не найден — эскроу и документы не подтверждены;каталог новостроек наш.дом.рф (Москва и МО, выгрузка 23.09.2026): объект не найден;23.09.2026
aristarkhovskiy;09;да;от 1 409 924 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
arkhitektor;01;да;ЮЗАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
arkhitektor;02;нет;промзона 118 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
arkhitektor;03;нет;"Воронцовская (метро) — 20 мин; школа с отметкой NOTA — Школа № 1514, 1189 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
